,Unnamed: 0,timestamp,hr_time,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,key,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin,date
211795,211795,1631715099457,2021-09-15 14:11:39,32.52000045776367,48.249000549316406,939.0346069335938,0,1975,819,2794,1571,943,0,1186.6466064453125,1122.1639404296877,1186.6466064453125,1186.6466064453125,7867.14208984375,8935.2548828125,8955.81640625,8959.115234375,8961.015625,0.5155841112136841,-0.0320260226726532,-0.0160130113363266,-0.0320260226726532,65024,65280,65024,39.415771484375,38.888816833496094,40.42351150512695,32.892333984375,0.462646484375,4215,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714784904,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.3283188453673,49.92867320785521,44.337912664031975,0.6293283188453674,3.776777976638492,0.0,184.6,327.51446337890616,818.7861584472655,284.7951855468749,711.9879638671873,1,2021-09-15 14:11:39
211798,211798,1631715130464,2021-09-15 14:12:10,32.529998779296875,48.23699951171875,938.9830932617188,0,1789,818,2796,1582,938,0,1162.02587890625,1098.881103515625,1162.02587890625,1162.02587890625,7703.91357421875,8749.865234375,8770.0,8773.2294921875,8775.091796875,0.4922157526016235,-0.0320260226726532,0.0320260226726532,-0.0640520453453064,65024,512,64512,39.40630340576172,38.89242172241211,40.08534240722656,32.9296875,0.341552734375,4225,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714815944,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.5113928430175,50.28058558959962,44.333332305908215,0.6285113928430175,3.764271715533341,0.0,183.9,320.719142578125,801.7978564453124,278.8862109375,697.21552734375,1,2021-09-15 14:12:10
211801,211801,1631715161469,2021-09-15 14:12:41,32.529998779296875,48.224998474121094,939.0501708984376,0,1900,819,2794,1589,941,0,1163.0867919921875,1099.88427734375,1163.0867919921875,1163.0867919921875,7710.94677734375,8757.8525390625,8778.005859375,8781.2392578125,8783.1025390625,0.5030102729797363,-0.0480390302836895,0.0,-0.0320260226726532,64768,0,65024,39.37266540527344,38.91519165039063,40.26586151123047,33.0546875,0.734375,4210,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714846945,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.3003800729371,50.504455978393565,44.333619130706786,0.629300380072937,3.7728715508210784,0.0,183.9,321.01195458984375,802.5298864746093,279.140830078125,697.8520751953125,1,2021-09-15 14:12:41
211804,211804,1631715192666,2021-09-15 14:13:12,32.529998779296875,48.249000549316406,939.0288696289062,0,1920,819,2792,1560,934,0,1164.1474609375,1100.887451171875,1164.1474609375,1164.1474609375,7717.9794921875,8765.8408203125,8786.01171875,8789.248046875,8791.11328125,0.4988988637924194,-0.0160130113363266,0.0,0.0160130113363266,65280,0,256,39.28221893310547,38.61369705200195,39.860836029052734,32.9296875,0.493896484375,4225,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714878213,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.323745613098,49.57671520080567,44.33304548110962,0.629323745613098,3.7426767391602964,0.0,183.9,321.30469921875,803.2617480468748,279.395390625,698.4884765625,1,2021-09-15 14:13:12
211807,211807,1631715223477,2021-09-15 14:13:43,32.529998779296875,48.27399826049805,939.0770874023438,0,1902,817,2796,1575,938,0,1170.880126953125,1107.254150390625,1170.880126953125,1170.880126953125,7762.615234375,8816.5361328125,8836.82421875,8840.0791015625,8841.955078125,0.4833885431289673,-0.0480390302836895,0.0,-0.0480390302836895,64768,0,64768,41.2199592590332,39.055381774902344,42.51765823364258,33.236083984375,0.37109375,4214,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714908965,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,627.7467403849791,50.05698517608643,44.33244803581239,0.6277467403849791,3.7657500080605684,0.0,184.1,323.1629150390624,807.9072875976561,281.01123046875,702.528076171875,1,2021-09-15 14:13:43
211811,211811,1631715254678,2021-09-15 14:14:14,32.529998779296875,48.249000549316406,939.0827026367188,0,1995,818,2797,1567,937,0,1175.37060546875,1111.5006103515623,1175.37060546875,1175.37060546875,7792.3857421875,8850.3486328125,8870.71484375,8873.9814453125,8875.8642578125,0.5057154893875122,0.0,-0.0160130113363266,-0.0800650492310524,0,65280,64256,42.388877868652344,41.95764923095703,43.77312469482422,32.861083984375,0.5693359375,4210,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714940454,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.523075613098,49.800715200805676,44.33304548110962,0.628523075613098,3.7616205996270775,0.0,184.3,324.4022871093751,811.0057177734375,282.0889453125,705.22236328125,1,2021-09-15 14:14:14
211814,211814,1631715285484,2021-09-15 14:14:45,32.529998779296875,48.27399826049805,939.0827026367188,0,1795,819,2790,1571,939,0,1176.4237060546875,1112.4964599609377,1176.4237060546875,1176.4237060546875,7799.3671875,8858.27734375,8878.662109375,8881.9326171875,8883.81640625,0.5062417984008789,0.0,-0.0160130113363266,-0.0160130113363266,0,65280,65280,42.20259094238281,41.92724609375,42.65458679199219,32.954833984375,0.5693359375,4209,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631714970978,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.3480803849792,49.92898517608643,44.33244803581239,0.6293480803849792,3.767030324288118,0.0,184.3,324.69294287109375,811.7323571777342,282.341689453125,705.8542236328125,1,2021-09-15 14:14:45
211817,211817,1631715317079,2021-09-15 14:15:17,32.529998779296875,48.262001037597656,939.0827026367188,0,1699,818,2791,1564,945,0,1187.0599365234375,1122.5548095703123,1187.0599365234375,1187.0599365234375,7869.8828125,8938.3671875,8958.9365234375,8962.236328125,8964.1376953125,0.4922512769699097,-0.0320260226726532,-0.0160130113363266,0.0160130113363266,65024,65280,256,42.275146484375,41.88050079345703,42.62168884277344,33.0546875,0.41796875,4219,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715002689,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.5357313284301,49.704855606079114,44.3327347694397,0.6285357313284301,3.7701138950905877,0.0,184.6,327.62854248046875,819.0713562011719,284.8943847656251,712.2359619140625,1,2021-09-15 14:15:17
211820,211820,1631715347888,2021-09-15 14:15:47,32.529998779296875,48.2869987487793,939.0596923828124,0,1725,820,2796,1575,937,0,1193.6666259765625,1128.802490234375,1193.6666259765625,1193.6666259765625,7913.68310546875,8988.1142578125,9008.7978515625,9012.1162109375,9014.02734375,0.4944115877151489,0.0,-0.0160130113363266,-0.0160130113363266,0,65280,65280,39.79533386230469,38.61122131347656,42.41836166381836,32.829833984375,0.44140625,4216,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715033394,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,630.1614061003113,50.05712558135986,44.332137324142465,0.6301614061003111,3.788709334203453,0.0,184.8,329.45198876953117,823.6299719238282,286.479990234375,716.1999755859375,1,2021-09-15 14:15:47
211823,211823,1631715378698,2021-09-15 14:16:18,32.529998779296875,48.27399826049805,939.0288696289062,0,1766,818,2797,1575,932,0,1186.734619140625,1122.2470703125,1186.734619140625,1186.734619140625,7867.7255859375,8935.9169921875,8956.48046875,8959.779296875,8961.6806640625,0.4926223754882813,0.0,-0.0640520453453064,0.0320260226726532,0,64512,512,38.95611190795898,38.56811141967773,39.27043914794922,32.986083984375,0.659912109375,4229,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715064159,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.5474103849791,50.05698517608643,44.33244803581239,0.6285474103849791,3.7817534236313164,0.0,184.6,327.5387548828125,818.8468872070313,284.81630859375,712.040771484375,1,2021-09-15 14:16:18
