created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature,time,latitude,longitude,altitude
2021-11-05 15:29:00,1,1, ,0.150,0.125,126.3,36.85,44.945,32.59,2021-11-05 09:59:00,17.34307086,78.41874511,437.903
2021-11-05 15:30:00,1,1, ,0.104,0.067,66.75,25.9,45.625,32.18,2021-11-05 10:00:00,17.34102115,78.42425124,431.014
2021-11-05 15:31:00,1,1, ,0.175,0.131,42.0,21.3,46.89,32.03,2021-11-05 10:01:00,17.33620074,78.42670241,430.41
2021-11-05 15:32:00,1,1, ,0.215,0.219,50.7,23.9,46.635,32.055,2021-11-05 10:02:00,17.33094432,78.42647406,443.684
2021-11-05 15:33:00,1,1, ,0.113,0.088,63.45,39.6,47.055,31.995,2021-11-05 10:03:00,17.32651536,78.42580554,447.247
2021-11-05 15:34:00,1,1, ,0.098,0.067,138.1,77.95,46.905,32.045,2021-11-05 10:04:00,17.32390299,78.42917862,449.615
2021-11-05 15:35:00,1,1, ,0.092,0.065,84.9,41.9,46.89,32.03,2021-11-05 10:05:00,17.3209988,78.43309105,449.417
2021-11-05 15:36:00,1,1, ,0.082,0.055,92.9,39.05,46.76,32.085,2021-11-05 10:06:00,17.31836343,78.43698384,456.517
2021-11-05 15:37:00,1,1, ,0.095,0.062,62.4,29.35,47.23,31.915,2021-11-05 10:07:00,17.31513444,78.44298057,454.182
2021-11-05 15:38:00,1,1, ,0.114,0.072,57.5,32.2,47.09,32.08,2021-11-05 10:08:00,17.31581087,78.44830147,457.54
2021-11-05 15:39:00,1,1, ,0.076,0.049,76.85,33.5,46.175,32.275,2021-11-05 10:09:00,17.31643971,78.45347732,464.186
2021-11-05 15:40:00,1,1, ,0.313,0.318,92.4,35.85,45.07,32.62,2021-11-05 10:10:00,17.31570982,78.45550865,466.321
2021-11-05 15:41:00,1,1, ,0.095,0.055,77.05,38.9,44.555,32.8,2021-11-05 10:11:00,17.31636173,78.45023531,469.664
2021-11-05 15:43:00,1,1, ,0.083,0.047,137.45,42.3,44.22,33.16,2021-11-05 10:13:00,17.314398999999998,78.44469535,464.664
2021-11-05 15:44:00,1,1, ,0.126,0.055,118.4,35.6,43.21,33.17,2021-11-05 10:14:00,17.31430227,78.44440284,453.829
2021-11-05 15:45:00,1,1, ,0.118,0.054,179.05,131.25,43.235,33.315,2021-11-05 10:15:00,17.31638751,78.44053812,466.73800000000006
2021-11-05 15:46:00,1,1, ,0.261,0.081,62.25,30.3,43.78,33.255,2021-11-05 10:16:00,17.31976997,78.43463922,449.74300000000005
2021-11-05 15:47:00,1,1, ,0.881,0.175,63.7,30.8,43.83,33.245,2021-11-05 10:17:00,17.32143571,78.43218745,462.809
2021-11-05 15:48:00,1,1, ,0.522,0.162,78.2,31.95,43.97,33.145,2021-11-05 10:18:00,17.32537851,78.43399513,458.147
2021-11-05 15:49:00,1,1, ,0.452,0.177,85.1,29.55,44.43,32.955,2021-11-05 10:19:00,17.32994839,78.43660615,457.012
2021-11-05 15:50:00,1,1, ,0.717,0.181,98.65,34.9,44.245,32.355,2021-11-05 10:20:00,17.33497026,78.4420786,447.194
2021-11-05 15:51:00,1,1, ,0.359,0.113,198.05,39.9,45.66,32.53,2021-11-05 10:21:00,17.33555824,78.44613106,445.443
2021-11-05 15:52:00,1,1, ,0.313,0.106,728.6,111.85,45.845,32.86,2021-11-05 10:22:00,17.33644034,78.44842989,417.538
2021-11-05 15:53:00,1,1, ,0.304,0.135,751.6,166.8,46.2,33.115,2021-11-05 10:23:00,17.33731626,78.45004971,412.8730000000001
2021-11-05 15:54:00,1,1, ,0.213,0.095,231.15,88.2,45.6,33.165,2021-11-05 10:24:00,17.34188831,78.45034407,428.37
2021-11-05 15:55:00,1,1, ,0.388,0.158,504.25,92.9,45.07,33.225,2021-11-05 10:25:00,17.344772600000002,78.4507104,417.668
2021-11-05 15:56:00,1,1, ,0.180,0.083,347.35,67.05,44.9,33.31,2021-11-05 10:26:00,17.34873154,78.45189955,401.089
