created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature
2021-11-05 12:17:00,1,1, ,0.057,0.058,40.4,34.7,51.065,31.935
2021-11-05 12:18:00,1,1, ,0.048,0.046,37.1,33.1,51.36,31.87
2021-11-05 12:19:00,1,1, ,0.051,0.051,40.0,33.75,50.86,31.88
2021-11-05 12:20:00,1,1, ,0.052,0.052,39.15,34.15,49.825,32.03
2021-11-05 12:21:00,1,1, ,0.049,0.050,192.2,49.0,44.35,32.09
2021-11-05 12:22:00,1,1, ,0.050,0.049,150.5,44.25,38.735,31.945
2021-11-05 12:23:00,1,1, ,0.051,0.046,58.15,31.65,32.29,31.68
2021-11-05 12:24:00,1,1, ,0.054,0.048,34.65,23.8,28.425,30.86
2021-11-05 12:28:00,1,1, ,0.054,0.047,32.8,28.6,39.78,28.21
2021-11-05 12:29:00,1,1, ,0.052,0.049,30.75,26.55,39.865,27.805
2021-11-05 12:30:00,1,1, ,0.061,0.049,33.3,27.1,42.81,27.465
2021-11-05 12:31:00,1,1, ,0.069,0.050,31.5,28.1,43.16,27.13
2021-11-05 12:35:00,1,1, ,0.053,0.046,36.5,28.9,47.01,26.2
2021-11-05 12:36:00,1,1, ,0.050,0.045,41.15,30.0,47.135,26.07
2021-11-05 12:37:00,1,1, ,0.095,0.067,41.05,31.4,48.575,25.87
2021-11-05 12:38:00,1,1, ,0.086,0.066,39.0,31.45,48.095,25.725
2021-11-05 12:39:00,1,1, ,0.053,0.053,45.45,31.8,48.325,25.795
2021-11-05 12:40:00,1,1, ,0.056,0.051,34.0,26.7,41.57,25.6
2021-11-05 12:41:00,1,1, ,0.069,0.052,33.4,27.15,42.84,25.58
2021-11-05 12:42:00,1,1, ,0.096,0.077,35.1,26.2,41.3,25.515
2021-11-05 12:43:00,1,1, ,0.077,0.072,40.3,29.45,45.215,25.65
2021-11-05 12:44:00,1,1, ,0.051,0.045,61.35,43.45,53.105,25.98
2021-11-05 12:45:00,1,1, ,0.082,0.072,50.65,39.25,52.26,26.185
2021-11-05 12:46:00,1,1, ,0.061,0.048,48.2,38.3,51.375,26.47
2021-11-05 12:47:00,1,1, ,0.071,0.051,61.25,37.95,49.725,26.57
2021-11-05 12:48:00,1,1, ,0.052,0.050,59.25,39.0,47.04,26.69
2021-11-05 12:49:00,1,1, ,0.085,0.071,51.05,38.1,49.365,26.945
2021-11-05 12:50:00,1,1, ,0.079,0.046,59.2,39.25,50.965,27.205
2021-11-05 12:51:00,1,1, ,0.077,0.050,55.6,36.2,50.04,27.41
2021-11-05 12:52:00,1,1, ,0.054,0.042,43.7,32.35,42.365,27.27
2021-11-05 12:53:00,1,1, ,0.127,0.051,35.4,28.6,36.04,27.1
2021-11-05 12:54:00,1,1, ,0.689,0.241,31.1,25.25,33.625,26.83
2021-11-05 12:55:00,1,1, ,0.739,0.246,24.35,21.8,31.925,26.525
2021-11-05 12:56:00,1,1, ,0.137,0.065,21.95,19.7,31.45,26.36
2021-11-05 12:57:00,1,1, ,0.582,0.188,19.75,17.65,31.36,26.175
2021-11-05 12:58:00,1,1, ,0.269,0.098,30.2,17.85,37.04,26.06
2021-11-05 12:59:00,1,1, ,0.227,0.082,359.7,82.5,56.505,26.395
2021-11-05 13:00:00,1,1, ,0.048,0.046,474.35,108.5,55.925,26.725
2021-11-05 13:01:00,1,1, ,0.081,0.047,144.4,51.2,55.575,26.92
2021-11-05 13:02:00,1,1, ,0.076,0.046,234.65,61.05,55.065,27.1
2021-11-05 13:03:00,1,1, ,0.090,0.077,187.3,53.35,51.42,27.25
2021-11-05 13:04:00,1,1, ,0.085,0.087,93.65,41.2,36.81,26.81
2021-11-05 13:05:00,1,1, ,0.098,0.052,52.95,32.25,34.54,25.83
2021-11-05 13:06:00,1,1, ,0.122,0.051,45.1,26.85,33.26,24.915
2021-11-05 13:07:00,1,1, ,0.061,0.045,28.55,22.55,34.475,24.27
2021-11-05 13:08:00,1,1, ,0.049,0.041,27.45,19.9,34.54,23.76
2021-11-05 13:09:00,1,1, ,0.041,0.040,24.85,17.95,34.65,23.24
2021-11-05 13:10:00,1,1, ,0.117,0.052,31.0,15.7,35.24,22.79
2021-11-05 13:11:00,1,1, ,0.208,0.076,19.7,14.35,35.795,22.545
2021-11-05 13:12:00,1,1, ,0.307,0.097,19.75,12.8,36.225,22.23
2021-11-05 13:13:00,1,1, ,0.243,0.081,19.4,11.5,36.74,21.985
2021-11-05 13:14:00,1,1, ,0.105,0.078,17.4,13.5,41.285,21.79
2021-11-05 13:15:00,1,1, ,0.131,0.085,25.45,14.35,40.135,21.605
