Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm)
05 Nov 2021 12:17,1,1, ,0.057,0.058
05 Nov 2021 12:18,1,1, ,0.048,0.046
05 Nov 2021 12:19,1,1, ,0.051,0.051
05 Nov 2021 12:20,1,1, ,0.052,0.052
05 Nov 2021 12:21,1,1, ,0.049,0.050
05 Nov 2021 12:22,1,1, ,0.050,0.049
05 Nov 2021 12:23,1,1, ,0.051,0.046
05 Nov 2021 12:24,1,1, ,0.054,0.048
05 Nov 2021 12:25,1,1, ,0.049,0.046
05 Nov 2021 12:26,1,1, ,0.048,0.048
05 Nov 2021 12:27,1,1, ,0.052,0.048
05 Nov 2021 12:28,1,1, ,0.054,0.047
05 Nov 2021 12:29,1,1, ,0.052,0.049
05 Nov 2021 12:30,1,1, ,0.061,0.049
05 Nov 2021 12:31,1,1, ,0.069,0.050
05 Nov 2021 12:32,1,1, ,0.053,0.050
05 Nov 2021 12:33,1,1, ,0.054,0.051
05 Nov 2021 12:34,1,1, ,0.076,0.051
05 Nov 2021 12:35,1,1, ,0.053,0.046
05 Nov 2021 12:36,1,1, ,0.050,0.045
05 Nov 2021 12:37,1,1, ,0.095,0.067
05 Nov 2021 12:38,1,1, ,0.086,0.066
05 Nov 2021 12:39,1,1, ,0.053,0.053
05 Nov 2021 12:40,1,1, ,0.056,0.051
05 Nov 2021 12:41,1,1, ,0.069,0.052
05 Nov 2021 12:42,1,1, ,0.096,0.077
05 Nov 2021 12:43,1,1, ,0.077,0.072
05 Nov 2021 12:44,1,1, ,0.051,0.045
05 Nov 2021 12:45,1,1, ,0.082,0.072
05 Nov 2021 12:46,1,1, ,0.061,0.048
05 Nov 2021 12:47,1,1, ,0.071,0.051
05 Nov 2021 12:48,1,1, ,0.052,0.050
05 Nov 2021 12:49,1,1, ,0.085,0.071
05 Nov 2021 12:50,1,1, ,0.079,0.046
05 Nov 2021 12:51,1,1, ,0.077,0.050
05 Nov 2021 12:52,1,1, ,0.054,0.042
05 Nov 2021 12:53,1,1, ,0.127,0.051
05 Nov 2021 12:54,1,1, ,0.689,0.241
05 Nov 2021 12:55,1,1, ,0.739,0.246
05 Nov 2021 12:56,1,1, ,0.137,0.065
05 Nov 2021 12:57,1,1, ,0.582,0.188
05 Nov 2021 12:58,1,1, ,0.269,0.098
05 Nov 2021 12:59,1,1, ,0.227,0.082
05 Nov 2021 13:00,1,1, ,0.048,0.046
05 Nov 2021 13:01,1,1, ,0.081,0.047
05 Nov 2021 13:02,1,1, ,0.076,0.046
05 Nov 2021 13:03,1,1, ,0.090,0.077
05 Nov 2021 13:04,1,1, ,0.085,0.087
05 Nov 2021 13:05,1,1, ,0.098,0.052
05 Nov 2021 13:06,1,1, ,0.122,0.051
05 Nov 2021 13:07,1,1, ,0.061,0.045
05 Nov 2021 13:08,1,1, ,0.049,0.041
05 Nov 2021 13:09,1,1, ,0.041,0.040
05 Nov 2021 13:10,1,1, ,0.117,0.052
05 Nov 2021 13:11,1,1, ,0.208,0.076
05 Nov 2021 13:12,1,1, ,0.307,0.097
05 Nov 2021 13:13,1,1, ,0.243,0.081
05 Nov 2021 13:14,1,1, ,0.105,0.078
05 Nov 2021 13:15,1,1, ,0.131,0.085
05 Nov 2021 13:16,1,1, ,0.125,0.060
05 Nov 2021 13:17,1,1, ,0.136,0.078
05 Nov 2021 13:18,1,1, ,0.059,0.051
05 Nov 2021 13:19,1,1, ,0.064,0.046
05 Nov 2021 13:20,1,1, ,0.071,0.050
05 Nov 2021 13:21,1,1, ,0.119,0.053
05 Nov 2021 13:22,1,1, ,0.110,0.055
05 Nov 2021 13:23,1,1, ,0.124,0.080
05 Nov 2021 13:24,1,1, ,0.127,0.086
05 Nov 2021 13:25,1,1, ,0.087,0.050
