Date Time, Monitor ID, Location ID, NO2(ppm)
19 Aug 2021 11:21,1,1,0.011
19 Aug 2021 11:22,1,1,0.006
19 Aug 2021 11:23,1,1,0.010
19 Aug 2021 11:24,1,1,0.012
19 Aug 2021 11:25,1,1,0.014
19 Aug 2021 11:26,1,1,0.015
19 Aug 2021 11:27,1,1,0.008
19 Aug 2021 11:28,1,1,0.010
19 Aug 2021 11:29,1,1,0.005
19 Aug 2021 11:30,1,1,0.012
19 Aug 2021 11:31,1,1,0.008
19 Aug 2021 11:32,1,1,0.008
19 Aug 2021 11:33,1,1,0.000
19 Aug 2021 11:34,1,1,0.042
19 Aug 2021 11:35,1,1,0.084
19 Aug 2021 11:36,1,1,0.045
19 Aug 2021 11:37,1,1,0.000
19 Aug 2021 11:38,1,1,0.005
19 Aug 2021 11:39,1,1,0.015
19 Aug 2021 11:40,1,1,0.014
19 Aug 2021 11:41,1,1,0.024
19 Aug 2021 11:42,1,1,0.020
19 Aug 2021 11:43,1,1,0.013
19 Aug 2021 11:44,1,1,0.019
19 Aug 2021 11:45,1,1,0.005
19 Aug 2021 11:46,1,1,0.007
19 Aug 2021 11:47,1,1,0.016
19 Aug 2021 11:48,1,1,0.018
19 Aug 2021 11:49,1,1,0.014
19 Aug 2021 11:50,1,1,0.025
19 Aug 2021 11:51,1,1,0.037
19 Aug 2021 11:52,1,1,0.033
19 Aug 2021 11:53,1,1,0.018
19 Aug 2021 11:54,1,1,0.023
19 Aug 2021 11:55,1,1,0.019
19 Aug 2021 11:56,1,1,0.031
19 Aug 2021 11:57,1,1,0.028
19 Aug 2021 11:58,1,1,0.037
19 Aug 2021 11:59,1,1,0.046
19 Aug 2021 12:00,1,1,0.043
19 Aug 2021 12:01,1,1,0.031
19 Aug 2021 12:02,1,1,0.040
19 Aug 2021 12:03,1,1,0.041
19 Aug 2021 12:04,1,1,0.050
19 Aug 2021 12:05,1,1,0.014
19 Aug 2021 12:06,1,1,0.034
19 Aug 2021 12:07,1,1,0.031
19 Aug 2021 12:08,1,1,0.033
19 Aug 2021 12:09,1,1,0.053
19 Aug 2021 12:10,1,1,0.059
19 Aug 2021 12:11,1,1,0.050
19 Aug 2021 12:12,1,1,0.056
19 Aug 2021 12:13,1,1,0.038
19 Aug 2021 12:14,1,1,0.035
19 Aug 2021 12:15,1,1,0.036
19 Aug 2021 12:16,1,1,0.054
19 Aug 2021 12:17,1,1,0.028
19 Aug 2021 12:18,1,1,0.022
19 Aug 2021 12:19,1,1,0.042
19 Aug 2021 12:20,1,1,0.056
19 Aug 2021 12:21,1,1,0.043
19 Aug 2021 12:22,1,1,0.073
19 Aug 2021 12:23,1,1,0.039
19 Aug 2021 12:24,1,1,0.045
19 Aug 2021 12:25,1,1,0.036
19 Aug 2021 12:26,1,1,0.056
19 Aug 2021 12:27,1,1,0.047
19 Aug 2021 12:28,1,1,0.043
19 Aug 2021 12:29,1,1,0.040
19 Aug 2021 12:30,1,1,0.073
19 Aug 2021 12:31,1,1,0.054
19 Aug 2021 12:32,1,1,0.040
19 Aug 2021 12:33,1,1,0.047
19 Aug 2021 12:34,1,1,0.087
19 Aug 2021 12:35,1,1,0.079
19 Aug 2021 12:36,1,1,0.059
19 Aug 2021 12:37,1,1,0.057
19 Aug 2021 12:38,1,1,0.038
19 Aug 2021 12:39,1,1,0.055
19 Aug 2021 12:40,1,1,0.035
19 Aug 2021 12:41,1,1,0.028
19 Aug 2021 12:42,1,1,0.024
19 Aug 2021 12:43,1,1,0.051
19 Aug 2021 12:44,1,1,0.032
19 Aug 2021 12:45,1,1,0.036
19 Aug 2021 12:46,1,1,0.021
19 Aug 2021 12:47,1,1,0.020
19 Aug 2021 12:48,1,1,0.016
19 Aug 2021 12:49,1,1,0.015
19 Aug 2021 12:50,1,1,0.016
19 Aug 2021 12:51,1,1,0.018
19 Aug 2021 12:52,1,1,0.018
19 Aug 2021 12:53,1,1,0.019
19 Aug 2021 12:54,1,1,0.008
19 Aug 2021 12:55,1,1,0.025
19 Aug 2021 12:56,1,1,0.023
19 Aug 2021 12:57,1,1,0.023
19 Aug 2021 12:58,1,1,0.014
19 Aug 2021 12:59,1,1,0.022
19 Aug 2021 13:00,1,1,0.014
19 Aug 2021 13:01,1,1,0.028
19 Aug 2021 13:02,1,1,0.020
19 Aug 2021 13:03,1,1,0.027
19 Aug 2021 13:04,1,1,0.023
19 Aug 2021 13:05,1,1,0.021
19 Aug 2021 13:06,1,1,0.027
19 Aug 2021 13:07,1,1,0.019
19 Aug 2021 13:08,1,1,0.018
19 Aug 2021 13:09,1,1,0.017
19 Aug 2021 13:10,1,1,0.021
19 Aug 2021 13:11,1,1,0.022
19 Aug 2021 13:12,1,1,0.015
19 Aug 2021 13:13,1,1,0.018
19 Aug 2021 13:14,1,1,0.018
19 Aug 2021 13:15,1,1,0.021
19 Aug 2021 13:16,1,1,0.017
19 Aug 2021 13:17,1,1,0.023
19 Aug 2021 13:18,1,1,0.018
19 Aug 2021 13:19,1,1,0.026
19 Aug 2021 13:20,1,1,0.012
19 Aug 2021 13:21,1,1,0.020
19 Aug 2021 13:22,1,1,0.023
19 Aug 2021 13:23,1,1,0.017
19 Aug 2021 13:24,1,1,0.015
19 Aug 2021 13:25,1,1,0.025
19 Aug 2021 13:26,1,1,0.031
19 Aug 2021 13:27,1,1,0.023
19 Aug 2021 13:28,1,1,0.027
19 Aug 2021 13:29,1,1,0.042
19 Aug 2021 13:30,1,1,0.055
19 Aug 2021 13:31,1,1,0.069
19 Aug 2021 13:32,1,1,0.068
19 Aug 2021 13:33,1,1,0.091
19 Aug 2021 13:34,1,1,0.053
19 Aug 2021 13:35,1,1,0.058
19 Aug 2021 13:36,1,1,0.044
19 Aug 2021 13:37,1,1,0.030
19 Aug 2021 13:38,1,1,0.047
19 Aug 2021 13:39,1,1,0.041
19 Aug 2021 13:40,1,1,0.083
19 Aug 2021 13:41,1,1,0.053
19 Aug 2021 13:42,1,1,0.061
19 Aug 2021 13:43,1,1,0.045
19 Aug 2021 13:44,1,1,0.052
