Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm)
25 Sep 2021 11:29,1,1, ,0.281,0.289
25 Sep 2021 11:30,1,1, ,0.257,0.264
25 Sep 2021 11:31,1,1, ,0.269,0.276
25 Sep 2021 11:32,1,1, ,0.276,0.282
25 Sep 2021 11:33,1,1, ,0.291,0.298
25 Sep 2021 11:34,1,1, ,0.349,0.355
25 Sep 2021 11:35,1,1, ,0.304,0.309
25 Sep 2021 11:36,1,1, ,0.293,0.298
25 Sep 2021 11:37,1,1, ,0.291,0.297
25 Sep 2021 11:38,1,1, ,0.290,0.296
25 Sep 2021 11:39,1,1, ,0.299,0.305
25 Sep 2021 11:40,1,1, ,0.291,0.296
25 Sep 2021 11:41,1,1, ,0.304,0.311
25 Sep 2021 11:42,1,1, ,0.300,0.306
25 Sep 2021 11:43,1,1, ,0.296,0.301
25 Sep 2021 11:44,1,1, ,0.288,0.294
25 Sep 2021 11:45,1,1, ,0.294,0.299
25 Sep 2021 11:46,1,1, ,0.292,0.297
25 Sep 2021 11:47,1,1, ,0.293,0.299
25 Sep 2021 11:48,1,1, ,0.287,0.292
25 Sep 2021 11:49,1,1, ,0.285,0.291
25 Sep 2021 11:50,1,1, ,0.280,0.285
25 Sep 2021 11:51,1,1, ,0.285,0.290
25 Sep 2021 11:52,1,1, ,0.269,0.274
25 Sep 2021 11:53,1,1, ,0.282,0.288
25 Sep 2021 11:54,1,1, ,0.271,0.276
25 Sep 2021 11:55,1,1, ,0.276,0.282
25 Sep 2021 11:56,1,1, ,0.272,0.278
25 Sep 2021 11:57,1,1, ,0.269,0.274
25 Sep 2021 11:58,1,1, ,0.264,0.269
25 Sep 2021 11:59,1,1, ,0.264,0.269
25 Sep 2021 12:00,1,1, ,0.262,0.267
25 Sep 2021 12:01,1,1, ,0.260,0.265
25 Sep 2021 12:02,1,1, ,0.258,0.264
25 Sep 2021 12:03,1,1, ,0.257,0.262
25 Sep 2021 12:04,1,1, ,0.260,0.266
25 Sep 2021 12:05,1,1, ,0.254,0.259
25 Sep 2021 12:06,1,1, ,0.251,0.256
25 Sep 2021 12:07,1,1, ,0.249,0.254
25 Sep 2021 12:08,1,1, ,0.245,0.250
25 Sep 2021 12:09,1,1, ,0.248,0.254
25 Sep 2021 12:10,1,1, ,0.244,0.249
25 Sep 2021 12:11,1,1, ,0.243,0.248
25 Sep 2021 12:12,1,1, ,0.243,0.248
25 Sep 2021 12:13,1,1, ,0.240,0.245
25 Sep 2021 12:14,1,1, ,0.238,0.243
25 Sep 2021 12:15,1,1, ,0.237,0.242
25 Sep 2021 12:16,1,1, ,0.237,0.241
25 Sep 2021 12:17,1,1, ,0.232,0.237
25 Sep 2021 12:18,1,1, ,0.235,0.240
25 Sep 2021 12:19,1,1, ,0.232,0.237
25 Sep 2021 12:20,1,1, ,0.234,0.239
25 Sep 2021 12:21,1,1, ,0.229,0.233
25 Sep 2021 12:22,1,1, ,0.231,0.235
25 Sep 2021 12:23,1,1, ,0.227,0.232
25 Sep 2021 12:24,1,1, ,0.227,0.232
25 Sep 2021 12:25,1,1, ,0.228,0.232
25 Sep 2021 12:26,1,1, ,0.219,0.223
25 Sep 2021 12:27,1,1, ,0.221,0.225
25 Sep 2021 12:28,1,1, ,0.225,0.230
25 Sep 2021 12:29,1,1, ,0.217,0.222
25 Sep 2021 12:30,1,1, ,0.224,0.228
25 Sep 2021 12:31,1,1, ,0.209,0.212
25 Sep 2021 12:32,1,1, ,0.203,0.208
25 Sep 2021 12:33,1,1, ,0.206,0.211
25 Sep 2021 12:34,1,1, ,0.211,0.216
25 Sep 2021 12:35,1,1, ,0.209,0.214
25 Sep 2021 12:36,1,1, ,0.219,0.224
25 Sep 2021 12:37,1,1, ,0.209,0.213
25 Sep 2021 12:38,1,1, ,0.213,0.218
25 Sep 2021 12:39,1,1, ,0.205,0.209
25 Sep 2021 12:40,1,1, ,0.207,0.212
25 Sep 2021 12:41,1,1, ,0.203,0.207
25 Sep 2021 12:42,1,1, ,0.200,0.204
25 Sep 2021 12:43,1,1, ,0.198,0.202
25 Sep 2021 12:44,1,1, ,0.203,0.207
25 Sep 2021 12:45,1,1, ,0.202,0.206
25 Sep 2021 12:46,1,1, ,0.197,0.201
25 Sep 2021 12:47,1,1, ,0.195,0.199
25 Sep 2021 12:48,1,1, ,0.200,0.204
25 Sep 2021 12:49,1,1, ,0.192,0.196
25 Sep 2021 12:50,1,1, ,0.191,0.196
25 Sep 2021 12:51,1,1, ,0.195,0.199
25 Sep 2021 12:52,1,1, ,0.187,0.191
25 Sep 2021 12:53,1,1, ,0.189,0.193
25 Sep 2021 12:54,1,1, ,0.192,0.196
25 Sep 2021 12:55,1,1, ,0.191,0.196
25 Sep 2021 12:56,1,1, ,0.192,0.196
25 Sep 2021 12:57,1,1, ,0.189,0.193
25 Sep 2021 12:58,1,1, ,0.189,0.193
25 Sep 2021 12:59,1,1, ,0.186,0.189
25 Sep 2021 13:00,1,1, ,0.186,0.190
25 Sep 2021 13:01,1,1, ,0.181,0.185
25 Sep 2021 13:02,1,1, ,0.175,0.179
25 Sep 2021 13:03,1,1, ,0.178,0.182
25 Sep 2021 13:04,1,1, ,0.175,0.179
25 Sep 2021 13:05,1,1, ,0.176,0.179
25 Sep 2021 13:06,1,1, ,0.174,0.178
25 Sep 2021 13:07,1,1, ,0.174,0.178
25 Sep 2021 13:08,1,1, ,0.171,0.175
25 Sep 2021 13:09,1,1, ,0.173,0.177
25 Sep 2021 13:10,1,1, ,0.169,0.173
25 Sep 2021 13:11,1,1, ,0.169,0.173
25 Sep 2021 13:12,1,1, ,0.170,0.174
25 Sep 2021 13:13,1,1, ,0.166,0.170
25 Sep 2021 13:14,1,1, ,0.167,0.171
25 Sep 2021 13:15,1,1, ,0.165,0.169
25 Sep 2021 13:16,1,1, ,0.162,0.166
25 Sep 2021 13:17,1,1, ,0.165,0.168
25 Sep 2021 13:18,1,1, ,0.164,0.168
25 Sep 2021 13:19,1,1, ,0.165,0.169
25 Sep 2021 13:20,1,1, ,0.160,0.163
25 Sep 2021 13:21,1,1, ,0.160,0.164
25 Sep 2021 13:22,1,1, ,0.157,0.160
25 Sep 2021 13:23,1,1, ,0.155,0.158
25 Sep 2021 13:24,1,1, ,0.154,0.158
25 Sep 2021 13:25,1,1, ,0.158,0.162
25 Sep 2021 13:26,1,1, ,0.151,0.155
25 Sep 2021 13:27,1,1, ,0.154,0.158
25 Sep 2021 13:28,1,1, ,0.151,0.155
25 Sep 2021 13:29,1,1, ,0.155,0.158
25 Sep 2021 13:30,1,1, ,0.152,0.155
25 Sep 2021 13:31,1,1, ,0.151,0.155
25 Sep 2021 13:32,1,1, ,0.152,0.155
25 Sep 2021 13:33,1,1, ,0.155,0.158
25 Sep 2021 13:34,1,1, ,0.149,0.153
25 Sep 2021 13:35,1,1, ,0.149,0.153
25 Sep 2021 13:36,1,1, ,0.147,0.151
25 Sep 2021 13:37,1,1, ,0.145,0.149
25 Sep 2021 13:38,1,1, ,0.146,0.150
25 Sep 2021 13:39,1,1, ,0.145,0.149
25 Sep 2021 13:40,1,1, ,0.146,0.149
25 Sep 2021 13:41,1,1, ,0.147,0.151
25 Sep 2021 13:42,1,1, ,0.144,0.147
25 Sep 2021 13:43,1,1, ,0.142,0.146
25 Sep 2021 13:44,1,1, ,0.144,0.147
25 Sep 2021 13:45,1,1, ,0.140,0.143
25 Sep 2021 13:46,1,1, ,0.142,0.145
25 Sep 2021 13:47,1,1, ,0.137,0.140
25 Sep 2021 13:48,1,1, ,0.136,0.139
25 Sep 2021 13:49,1,1, ,0.139,0.142
25 Sep 2021 13:50,1,1, ,0.135,0.138
25 Sep 2021 13:51,1,1, ,0.134,0.137
25 Sep 2021 13:52,1,1, ,0.133,0.137
25 Sep 2021 13:53,1,1, ,0.132,0.135
25 Sep 2021 13:54,1,1, ,0.134,0.137
25 Sep 2021 13:55,1,1, ,0.132,0.135
25 Sep 2021 13:56,1,1, ,0.129,0.132
25 Sep 2021 13:57,1,1, ,0.130,0.133
25 Sep 2021 13:58,1,1, ,0.129,0.131
25 Sep 2021 13:59,1,1, ,0.131,0.134
25 Sep 2021 14:00,1,1, ,0.126,0.129
25 Sep 2021 14:01,1,1, ,0.129,0.132
25 Sep 2021 14:02,1,1, ,0.123,0.126
25 Sep 2021 14:03,1,1, ,0.124,0.127
25 Sep 2021 14:04,1,1, ,0.126,0.128
25 Sep 2021 14:05,1,1, ,0.125,0.128
25 Sep 2021 14:06,1,1, ,0.123,0.126
25 Sep 2021 14:07,1,1, ,0.123,0.126
25 Sep 2021 14:08,1,1, ,0.122,0.125
25 Sep 2021 14:09,1,1, ,0.117,0.120
25 Sep 2021 14:10,1,1, ,0.121,0.124
25 Sep 2021 14:11,1,1, ,0.118,0.121
25 Sep 2021 14:12,1,1, ,0.120,0.123
25 Sep 2021 14:13,1,1, ,0.117,0.120
25 Sep 2021 14:14,1,1, ,0.120,0.123
25 Sep 2021 14:15,1,1, ,0.115,0.118
25 Sep 2021 14:16,1,1, ,0.117,0.120
25 Sep 2021 14:17,1,1, ,0.117,0.119
25 Sep 2021 14:18,1,1, ,0.116,0.119
25 Sep 2021 14:19,1,1, ,0.112,0.114
25 Sep 2021 14:20,1,1, ,0.113,0.115
25 Sep 2021 14:21,1,1, ,0.111,0.114
25 Sep 2021 14:22,1,1, ,0.111,0.113
25 Sep 2021 14:23,1,1, ,0.110,0.113
25 Sep 2021 14:24,1,1, ,0.109,0.111
25 Sep 2021 14:25,1,1, ,0.107,0.110
25 Sep 2021 14:26,1,1, ,0.114,0.116
25 Sep 2021 14:27,1,1, ,0.106,0.109
25 Sep 2021 14:28,1,1, ,0.108,0.111
25 Sep 2021 14:29,1,1, ,0.107,0.110
25 Sep 2021 14:30,1,1, ,0.107,0.109
25 Sep 2021 14:31,1,1, ,0.105,0.108
25 Sep 2021 14:32,1,1, ,0.105,0.107
25 Sep 2021 14:33,1,1, ,0.106,0.108
25 Sep 2021 14:34,1,1, ,0.103,0.105
25 Sep 2021 14:35,1,1, ,0.107,0.110
25 Sep 2021 14:36,1,1, ,0.103,0.105
25 Sep 2021 14:37,1,1, ,0.103,0.106
25 Sep 2021 14:38,1,1, ,0.102,0.105
25 Sep 2021 14:39,1,1, ,0.103,0.106
25 Sep 2021 14:40,1,1, ,0.100,0.102
25 Sep 2021 14:41,1,1, ,0.100,0.102
25 Sep 2021 14:42,1,1, ,0.099,0.102
25 Sep 2021 14:43,1,1, ,0.098,0.101
25 Sep 2021 14:44,1,1, ,0.098,0.100
