Date Time, Monitor ID, Location ID, CO_ppm
27-07-2021 16:02,1,1,3.4
27-07-2021 16:03,1,1,2.95
27-07-2021 16:04,1,1,0.92
27-07-2021 16:05,1,1,4.27
27-07-2021 16:06,1,1,0.12
27-07-2021 16:07,1,1,0.29
27-07-2021 16:08,1,1,0
27-07-2021 16:09,1,1,0.02
27-07-2021 16:10,1,1,0
27-07-2021 16:11,1,1,0
27-07-2021 16:12,1,1,0
27-07-2021 16:13,1,1,0
27-07-2021 16:14,1,1,0.56
27-07-2021 16:15,1,1,7.94
27-07-2021 16:16,1,1,5.05
27-07-2021 16:17,1,1,5.04
27-07-2021 16:18,1,1,5.47
27-07-2021 16:19,1,1,4.95
27-07-2021 16:20,1,1,4.05
27-07-2021 16:21,1,1,0
27-07-2021 16:22,1,1,0
27-07-2021 16:23,1,1,0.23
27-07-2021 16:24,1,1,1.41
27-07-2021 16:25,1,1,1.22
27-07-2021 16:26,1,1,0.14
27-07-2021 16:27,1,1,0
27-07-2021 16:28,1,1,0
27-07-2021 16:29,1,1,0
27-07-2021 16:30,1,1,0
27-07-2021 16:31,1,1,0
27-07-2021 16:32,1,1,0
27-07-2021 16:33,1,1,0
27-07-2021 16:34,1,1,0
27-07-2021 16:35,1,1,2.24
27-07-2021 16:36,1,1,2.69
27-07-2021 16:37,1,1,2.67
27-07-2021 16:38,1,1,0
27-07-2021 16:39,1,1,0.98
27-07-2021 16:40,1,1,1.91
27-07-2021 16:41,1,1,3.2
27-07-2021 16:42,1,1,3.24
27-07-2021 16:43,1,1,3.31
27-07-2021 16:44,1,1,3.27
27-07-2021 16:45,1,1,2.91
27-07-2021 16:46,1,1,2.24
27-07-2021 16:47,1,1,3.17
27-07-2021 16:48,1,1,3.02
27-07-2021 16:49,1,1,2.43
27-07-2021 16:50,1,1,2.5
27-07-2021 16:51,1,1,2.63
27-07-2021 16:52,1,1,2.28
27-07-2021 16:53,1,1,0.93
27-07-2021 16:54,1,1,0.31
27-07-2021 16:55,1,1,0.95
27-07-2021 16:56,1,1,2.33
27-07-2021 16:57,1,1,2.97
27-07-2021 16:58,1,1,3.33
27-07-2021 16:59,1,1,4.21
27-07-2021 17:00,1,1,5.02
27-07-2021 17:01,1,1,6.01
27-07-2021 17:02,1,1,7.2
27-07-2021 17:03,1,1,7.56
27-07-2021 17:04,1,1,7.42
27-07-2021 17:05,1,1,6.83
27-07-2021 17:06,1,1,6.31
27-07-2021 17:07,1,1,5.65
27-07-2021 17:08,1,1,5.22
27-07-2021 17:09,1,1,5.03
27-07-2021 17:10,1,1,4.62
