,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
0,2021-10-23 11:44:00,1,1,0.0,0.0,0.0,8.333,21.333,29.877,38.093,946.564
1,2021-10-23 11:45:00,1,1,0.1,0.0,0.0,8.556,21.611,29.969,38.092,946.585
2,2021-10-23 11:46:00,1,1,0.0,0.0,0.0,8.611,21.889,30.056,38.082,946.563
3,2021-10-23 11:47:00,1,1,0.0,0.0,0.0,8.474,21.947,30.15,38.417,946.54
4,2021-10-23 11:48:00,1,1,0.0,0.0,0.0,8.7,22.1,30.254,38.267,946.507
8,2021-10-23 11:52:00,1,1,0.0,0.0,0.0,8.647,22.647,30.814,37.374,946.402
9,2021-10-23 11:53:00,1,1,0.0,0.0,0.0,8.9,22.75,30.955,37.329,946.417
10,2021-10-23 11:54:00,1,1,0.0,0.0,0.0,9.0,23.316,31.119,37.333,946.465
11,2021-10-23 11:55:00,1,1,0.0,0.0,0.0,10.6,26.7,31.358,37.513,946.638
12,2021-10-23 11:56:00,1,1,0.0,0.0,0.0,10.158,25.158,31.541,36.754,946.624
13,2021-10-23 11:57:00,1,1,0.0,0.0,0.0,9.5,23.95,31.662,36.448,946.607
14,2021-10-23 11:58:00,1,1,0.0,0.0,0.0,9.158,23.526,31.81,35.036,946.624
15,2021-10-23 11:59:00,1,1,0.0,0.0,0.0,9.842,25.368,32.034,33.638,946.303
16,2021-10-23 12:00:00,1,1,0.0,0.0,0.0,11.944,29.722,32.317,32.858,945.659
17,2021-10-23 12:01:00,1,1,0.0,0.0,0.0,12.1,30.35,32.789,33.918,946.158
18,2021-10-23 12:02:00,1,1,0.0,0.0,0.0,12.0,30.526,33.03,32.729,945.65
19,2021-10-23 12:03:00,1,1,0.0,0.0,0.0,12.053,29.474,32.973,31.549,946.124
20,2021-10-23 12:04:00,1,1,0.0,0.0,0.0,12.1,30.75,33.114,31.765,946.258
21,2021-10-23 12:05:00,1,1,0.0,0.0,0.0,15.167,37.333,33.45,31.39,946.33
22,2021-10-23 12:06:00,1,1,0.0,0.0,0.0,16.053,37.263,33.663,31.357,945.141
23,2021-10-23 12:07:00,1,1,0.3,0.0,0.0,16.056,36.056,33.853,31.079,944.684
24,2021-10-23 12:08:00,1,1,0.4,0.0,0.0,14.333,31.333,33.81,31.079,945.753
25,2021-10-23 12:09:00,1,1,0.1,0.0,0.0,12.842,29.368,33.729,31.269,947.449
26,2021-10-23 12:10:00,1,1,0.2,0.0,0.0,12.368,30.789,33.87,31.561,949.255
27,2021-10-23 12:11:00,1,1,0.0,0.0,0.0,12.632,37.316,33.975,31.652,949.314
28,2021-10-23 12:12:00,1,1,0.0,0.0,0.0,19.5,75.611,34.215,31.627,949.285
29,2021-10-23 12:13:00,1,1,0.1,0.0,0.0,19.0,48.5,34.642,31.504,948.803
30,2021-10-23 12:14:00,1,1,0.1,0.0,0.0,16.944,38.889,34.825,31.3,948.845
31,2021-10-23 12:15:00,1,1,0.0,0.0,0.0,12.556,33.444,34.903,30.714,949.266
32,2021-10-23 12:16:00,1,1,0.0,0.0,0.0,14.263,36.316,35.202,30.721,949.268
33,2021-10-23 12:17:00,1,1,0.0,0.0,0.0,13.625,39.312,35.242,30.607,949.23
34,2021-10-23 12:18:00,1,1,0.0,0.0,0.0,16.125,31.875,34.668,30.43,949.261
35,2021-10-23 12:19:00,1,1,0.0,0.0,0.0,11.737,30.579,34.351,31.435,949.856
36,2021-10-23 12:20:00,1,1,0.0,0.0,0.0,9.611,31.722,34.172,31.344,950.321
37,2021-10-23 12:21:00,1,1,0.1,0.0,0.0,8.833,35.611,34.436,31.341,950.434
38,2021-10-23 12:22:00,1,1,0.0,0.0,0.0,7.579,33.0,34.653,30.322,950.413
39,2021-10-23 12:23:00,1,1,0.0,0.0,0.0,8.556,35.611,34.965,29.904,950.353
40,2021-10-23 12:24:00,1,1,0.0,0.0,0.0,9.059,34.941,34.968,29.711,950.352
41,2021-10-23 12:25:00,1,1,0.0,0.0,0.0,8.211,32.368,34.796,30.327,950.798
42,2021-10-23 12:26:00,1,1,0.0,0.0,0.0,8.0,31.0,34.605,30.144,951.069
43,2021-10-23 12:27:00,1,1,0.1,0.0,0.0,8.842,34.579,34.673,30.29,951.177
44,2021-10-23 12:28:00,1,1,0.0,0.0,0.0,9.167,39.833,34.849,30.904,951.301
45,2021-10-23 12:29:00,1,1,0.0,0.0,0.0,10.263,42.632,35.014,30.38,950.94
46,2021-10-23 12:30:00,1,1,0.0,0.0,0.0,9.5,37.625,35.081,30.001,950.124
47,2021-10-23 12:31:00,1,1,0.1,0.0,0.0,8.833,35.333,34.97,31.207,950.272
48,2021-10-23 12:32:00,1,1,0.1,0.0,0.0,8.316,35.158,34.98,31.012,951.651
49,2021-10-23 12:33:00,1,1,0.0,0.0,0.0,7.778,36.056,35.224,30.093,952.188
50,2021-10-23 12:34:00,1,1,0.2,0.0,0.0,9.684,41.579,35.538,29.8,952.507
51,2021-10-23 12:35:00,1,1,0.1,0.0,0.0,11.611,46.111,35.756,29.358,952.733
52,2021-10-23 12:36:00,1,1,0.0,0.0,0.0,9.684,39.684,35.917,29.11,952.855
53,2021-10-23 12:37:00,1,1,0.0,0.0,0.0,10.053,41.632,36.149,28.423,952.864
54,2021-10-23 12:38:00,1,1,0.1,0.0,0.0,11.389,41.611,36.102,28.881,953.336
55,2021-10-23 12:39:00,1,1,0.1,0.0,0.0,9.889,38.722,35.911,28.828,953.366
56,2021-10-23 12:40:00,1,1,0.1,0.0,0.0,11.263,41.684,35.818,28.711,952.859
57,2021-10-23 12:41:00,1,1,0.1,0.0,0.0,11.111,42.889,35.863,28.754,952.776
58,2021-10-23 12:42:00,1,1,0.0,0.0,0.0,10.421,40.263,35.846,29.673,952.771
59,2021-10-23 12:43:00,1,1,0.1,0.0,0.0,9.474,39.526,35.856,29.905,952.704
60,2021-10-23 12:44:00,1,1,0.1,0.0,0.0,9.421,37.105,35.675,29.589,951.612
61,2021-10-23 12:45:00,1,1,0.1,0.0,0.0,8.0,34.722,35.652,29.23,952.182
62,2021-10-23 12:46:00,1,1,0.1,0.0,0.0,7.389,34.833,35.806,29.315,952.498
63,2021-10-23 12:47:00,1,1,0.1,0.0,0.0,7.316,34.158,35.912,29.832,951.513
64,2021-10-23 12:48:00,1,1,0.0,0.0,0.0,8.056,33.278,35.753,29.638,952.654
65,2021-10-23 12:49:00,1,1,0.0,0.0,0.0,8.632,35.842,35.748,29.671,952.752
66,2021-10-23 12:50:00,1,1,0.1,0.0,0.0,9.111,37.778,35.819,29.022,952.356
67,2021-10-23 12:51:00,1,1,0.1,0.0,0.0,10.176,40.0,35.592,29.269,952.33
68,2021-10-23 12:52:00,1,1,0.2,0.0,0.0,10.053,38.895,35.618,29.111,952.58
69,2021-10-23 12:53:00,1,1,0.1,0.0,0.0,9.5,38.389,35.776,28.736,952.818
70,2021-10-23 12:54:00,1,1,0.1,0.0,0.0,9.632,38.316,35.505,28.989,953.117
71,2021-10-23 12:55:00,1,1,0.1,0.0,0.0,9.529,38.294,35.312,31.049,953.348
72,2021-10-23 12:56:00,1,1,0.1,0.0,0.0,10.842,42.105,35.108,29.831,953.109
73,2021-10-23 12:57:00,1,1,0.1,0.0,0.0,10.895,44.789,35.223,29.477,953.563
74,2021-10-23 12:58:00,1,1,0.2,0.0,0.0,10.611,43.167,35.376,29.48,953.506
75,2021-10-23 12:59:00,1,1,0.2,0.0,0.0,10.0,41.833,35.484,29.375,953.475
76,2021-10-23 13:00:00,1,1,0.2,0.0,0.0,10.842,45.421,35.591,29.92,953.43
77,2021-10-23 13:01:00,1,1,0.2,0.0,0.0,12.611,50.556,35.767,29.017,953.766
78,2021-10-23 13:02:00,1,1,0.1,0.0,0.0,12.474,50.368,35.921,28.632,954.274
79,2021-10-23 13:03:00,1,1,0.1,0.0,0.0,12.778,50.278,36.069,28.193,954.611
80,2021-10-23 13:04:00,1,1,0.1,0.0,0.0,13.0,48.0,35.931,28.452,954.973
81,2021-10-23 13:05:00,1,1,0.6,0.0,0.0,12.211,46.947,35.938,28.023,955.147
82,2021-10-23 13:06:00,1,1,0.4,0.0,0.0,15.278,56.611,36.173,27.753,955.154
83,2021-10-23 13:07:00,1,1,0.2,0.0,0.0,13.778,52.0,36.309,27.222,955.196
84,2021-10-23 13:08:00,1,1,1.1,0.0,0.0,9.632,41.474,36.306,27.252,955.219
85,2021-10-23 13:09:00,1,1,0.8,0.0,0.0,15.632,67.737,36.422,27.702,955.215
86,2021-10-23 13:10:00,1,1,1.0,0.0,0.0,16.579,61.158,36.358,28.012,955.262
87,2021-10-23 13:11:00,1,1,1.8,0.0,0.0,12.947,55.842,36.347,28.439,955.245
88,2021-10-23 13:12:00,1,1,0.8,0.0,0.0,18.368,77.737,36.749,28.502,955.219
89,2021-10-23 13:13:00,1,1,0.6,0.0,0.0,36.167,132.444,37.051,28.203,955.204
90,2021-10-23 13:14:00,1,1,0.2,0.0,0.0,37.947,137.0,37.264,27.242,955.168
91,2021-10-23 13:15:00,1,1,0.2,0.0,0.0,42.368,157.053,37.46,27.416,955.193
92,2021-10-23 13:16:00,1,1,0.3,0.0,0.0,34.65,114.45,37.454,27.537,955.226
93,2021-10-23 13:17:00,1,1,0.1,0.0,0.0,16.5,61.278,36.712,30.774,955.164
94,2021-10-23 13:18:00,1,1,0.1,0.0,0.0,12.167,52.944,36.472,28.303,955.039
95,2021-10-23 13:19:00,1,1,0.0,0.0,0.0,12.278,54.889,36.543,28.092,955.168
96,2021-10-23 13:20:00,1,1,0.0,0.0,0.0,14.471,57.118,36.185,30.614,955.605
97,2021-10-23 13:21:00,1,1,0.0,0.0,0.0,12.737,50.684,35.662,29.991,956.111
98,2021-10-23 13:22:00,1,1,0.1,0.0,0.0,12.895,52.632,35.45,29.391,955.943
99,2021-10-23 13:23:00,1,1,0.1,0.0,0.0,14.444,54.778,35.242,29.913,956.072
