,Date Time, NO2(ppm),data.temp_c,data.hum_prcnt,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.batt_prcnt,data.location.lat,data.location.lon,data.no2_ppb_shift
55,2021-08-19 12:16:00,0.054000000000000006,31.235,50.141,515.5,2040.5,1943.5,1071.0,74.5,83.0,17.457,78.361,2174.5
56,2021-08-19 12:17:00,0.027999999999999997,31.25,50.955,539.0,2085.0,2018.0,1088.0,81.0,83.0,17.456,78.364,2197.5
57,2021-08-19 12:18:00,0.022000000000000002,31.29,50.547,551.5,2089.0,2050.5,1087.0,70.0,83.0,17.457,78.365,2226.5
58,2021-08-19 12:19:00,0.042,31.41,50.384,607.0,2256.5,2198.5,1134.0,65.5,83.0,17.458,78.366,2196.0
59,2021-08-19 12:20:00,0.055999999999999994,31.56,49.463,536.5,2139.0,2007.0,1097.0,58.5,83.0,17.459,78.367,2162.0
60,2021-08-19 12:21:00,0.043,31.6,49.158,515.5,2121.0,1947.5,1094.5,59.5,83.0,17.459,78.368,2153.0
61,2021-08-19 12:22:00,0.073,31.67,48.844,544.0,2071.0,2021.0,1081.0,60.5,83.0,17.458,78.372,2140.5
62,2021-08-19 12:23:00,0.039,31.625,49.16,563.0,2132.0,2078.0,1098.5,67.5,83.0,17.457,78.373,2032.0
63,2021-08-19 12:24:00,0.045,31.61,49.528,547.0,2180.0,2034.0,1106.5,69.0,83.0,17.457,78.377,2144.0
64,2021-08-19 12:25:00,0.036000000000000004,31.71,49.127,557.0,2103.0,2063.5,1094.5,58.5,83.0,17.453,78.38,2115.5
65,2021-08-19 12:26:00,0.055999999999999994,31.68,49.123,542.5,2126.5,2019.5,1097.5,68.5,83.0,17.452,78.381,2110.0
66,2021-08-19 12:27:00,0.047,31.785,48.826,528.0,2085.5,1981.0,1088.5,69.0,83.0,17.451,78.38,2133.5
67,2021-08-19 12:28:00,0.043,31.825,48.351,606.5,2190.5,2201.0,1114.0,57.5,83.0,17.447,78.378,2082.0
68,2021-08-19 12:29:00,0.04,31.71,48.369,585.0,2151.5,2136.0,1103.5,57.5,83.0,17.442,78.377,2040.5
69,2021-08-19 12:30:00,0.073,31.41,48.253,513.0,1969.5,1933.5,1049.0,55.0,83.0,17.435,78.375,1974.5
70,2021-08-19 12:31:00,0.054000000000000006,30.945,49.153,492.5,1898.0,1884.5,1029.5,69.5,82.5,17.43,78.375,2003.0
71,2021-08-19 12:32:00,0.04,30.57,50.516,552.0,2028.0,2049.0,1066.0,76.0,82.0,17.429,78.375,2056.5
72,2021-08-19 12:33:00,0.047,30.58,51.073,539.5,2090.5,2013.0,1084.0,77.5,82.0,17.43,78.373,2032.0
73,2021-08-19 12:34:00,0.087,30.605,50.973,549.5,2056.5,2042.5,1075.0,80.5,82.0,17.433,78.37,1985.5
74,2021-08-19 12:35:00,0.079,30.565,50.896,546.5,2035.0,2033.5,1069.0,82.0,82.0,17.437,78.366,1980.0
75,2021-08-19 12:36:00,0.059000000000000004,30.49,50.508,553.0,2028.0,2046.0,1069.0,89.0,82.0,17.438,78.364,2006.5
76,2021-08-19 12:37:00,0.057,30.575,50.71,601.0,2110.0,2185.0,1086.5,79.5,82.0,17.438,78.364,1958.5
77,2021-08-19 12:38:00,0.038,30.755,50.615,548.0,2103.0,2035.0,1087.5,80.5,82.0,17.441,78.361,1963.5
78,2021-08-19 12:39:00,0.055,30.895,50.704,632.0,2283.5,2276.5,1141.0,78.5,82.0,17.442,78.359,2069.5
79,2021-08-19 12:40:00,0.035,31.04,50.266,552.0,2158.5,2049.5,1099.5,79.5,82.0,17.444,78.354,2139.0
80,2021-08-19 12:41:00,0.027999999999999997,31.115,50.195,543.0,2096.0,2022.0,1085.5,79.0,82.0,17.446,78.351,2213.5
81,2021-08-19 12:42:00,0.024,31.23,50.535,515.5,2112.0,1944.5,1092.0,72.0,82.0,17.446,78.351,2075.0
82,2021-08-19 12:43:00,0.051,31.33,50.406,500.5,2053.0,1903.5,1076.0,63.5,82.0,17.447,78.35,2007.0
83,2021-08-19 12:44:00,0.032,31.195,50.537,492.5,1948.0,1876.5,1044.5,82.5,82.0,17.447,78.348,2017.5
84,2021-08-19 12:45:00,0.036000000000000004,31.05,50.78,489.5,1974.5,1871.5,1049.0,77.0,81.5,17.447,78.348,1931.5
85,2021-08-19 12:46:00,0.021,31.14,51.366,496.0,2044.0,1888.0,1074.5,80.0,81.5,17.447,78.348,1981.5
86,2021-08-19 12:47:00,0.02,31.425,51.781,502.5,2131.5,1909.0,1098.0,82.0,81.0,17.447,78.348,2058.5
87,2021-08-19 12:48:00,0.016,31.71,51.273,501.0,2171.0,1908.0,1103.0,77.0,81.0,17.447,78.348,1933.5
88,2021-08-19 12:49:00,0.015,31.905,50.871,501.5,2162.0,1908.5,1106.5,77.0,81.0,17.447,78.348,1997.5
89,2021-08-19 12:50:00,0.016,32.135,50.271,502.0,2160.0,1908.0,1106.5,74.0,81.0,17.447,78.348,1981.5
90,2021-08-19 12:51:00,0.018000000000000002,32.335,50.025,504.0,2176.5,1908.5,1109.5,81.0,81.0,17.447,78.348,1992.5
91,2021-08-19 12:52:00,0.018000000000000002,32.52,49.56,503.5,2178.0,1910.0,1110.5,68.0,81.0,17.447,78.348,2135.0
92,2021-08-19 12:53:00,0.019,32.68,49.085,502.5,2167.5,1907.5,1109.5,68.0,81.0,17.447,78.348,2033.5
93,2021-08-19 12:54:00,0.008,32.795,48.631,502.0,2158.5,1903.5,1105.5,66.0,81.0,17.447,78.348,2151.0
94,2021-08-19 12:55:00,0.025,32.88,48.609,504.0,2189.0,1913.0,1113.0,65.5,81.0,17.447,78.348,2226.5
95,2021-08-19 12:56:00,0.023,32.985,48.28,503.5,2158.5,1907.5,1105.0,60.5,81.0,17.447,78.348,2040.5
96,2021-08-19 12:57:00,0.023,33.055,47.824,502.0,2164.0,1907.5,1106.0,63.5,81.0,17.447,78.348,2085.0
97,2021-08-19 12:58:00,0.013999999999999999,33.105,47.805,512.0,2226.5,1939.0,1118.5,66.5,81.0,17.447,78.348,2089.0
98,2021-08-19 12:59:00,0.022000000000000002,33.14,47.888,510.0,2217.5,1927.5,1119.5,67.5,80.0,17.447,78.348,2256.5
99,2021-08-19 13:00:00,0.013999999999999999,33.195,47.692,506.0,2215.5,1918.5,1115.5,60.5,80.0,17.447,78.348,2139.0
100,2021-08-19 13:01:00,0.027999999999999997,33.26,47.316,524.0,2201.0,1968.0,1120.0,64.5,80.0,17.447,78.348,2121.0
101,2021-08-19 13:02:00,0.02,33.32,47.11,516.5,2178.0,1952.0,1112.0,60.0,80.0,17.447,78.348,2071.0
102,2021-08-19 13:03:00,0.027000000000000003,33.38,46.737,510.0,2175.0,1927.0,1111.0,64.0,80.0,17.447,78.348,2132.0
103,2021-08-19 13:04:00,0.023,33.425,46.694,509.5,2178.0,1926.5,1111.0,61.5,80.0,17.447,78.348,2180.0
104,2021-08-19 13:05:00,0.021,33.475,46.625,507.5,2207.0,1925.5,1117.0,66.5,80.0,17.447,78.348,2103.0
105,2021-08-19 13:06:00,0.027000000000000003,33.54,46.668,527.0,2253.0,1979.0,1130.0,68.0,80.0,17.447,78.348,2126.5
106,2021-08-19 13:07:00,0.019,33.625,46.525,511.5,2221.0,1930.0,1125.0,67.5,80.0,17.447,78.348,2085.5
107,2021-08-19 13:08:00,0.018000000000000002,33.695,46.374,505.0,2203.0,1919.5,1112.0,63.5,80.0,17.447,78.348,2190.5
108,2021-08-19 13:09:00,0.017,33.74,46.488,506.0,2200.0,1913.5,1114.0,69.5,79.0,17.447,78.348,2151.5
109,2021-08-19 13:10:00,0.021,33.775,46.4,505.5,2215.5,1921.0,1119.0,67.0,79.0,17.447,78.348,1969.5
110,2021-08-19 13:11:00,0.022000000000000002,33.815,46.203,507.0,2210.0,1918.5,1120.5,64.5,79.0,17.447,78.348,1898.0
111,2021-08-19 13:12:00,0.015,33.86,46.141,504.5,2208.5,1915.0,1118.5,67.0,79.0,17.447,78.348,2028.0
112,2021-08-19 13:13:00,0.018000000000000002,33.915,46.122,508.0,2224.5,1925.0,1122.0,62.0,79.0,17.447,78.348,2090.5
113,2021-08-19 13:14:00,0.018000000000000002,33.99,45.891,506.0,2205.0,1922.0,1114.5,64.0,79.0,17.447,78.348,2056.5
114,2021-08-19 13:15:00,0.021,34.045,45.885,508.0,2214.0,1923.0,1123.5,68.5,79.0,17.447,78.348,2035.0
115,2021-08-19 13:16:00,0.017,34.105,45.689,508.5,2228.0,1923.5,1118.0,66.0,79.0,17.447,78.348,2028.0
116,2021-08-19 13:17:00,0.023,34.175,45.525,506.0,2210.5,1916.5,1121.0,64.5,79.0,17.447,78.348,2110.0
117,2021-08-19 13:18:00,0.018000000000000002,34.21,44.821,502.0,2182.0,1908.0,1106.0,59.0,79.0,17.447,78.348,2103.0
118,2021-08-19 13:19:00,0.026000000000000002,34.225,44.896,506.0,2208.5,1916.5,1116.5,65.5,79.0,17.447,78.348,2283.5
