Epoch date,GMT,Battery_percentage,NO2_ppb_megasense
1623956614,17-06-2021 19:03,52,2646
1623957095,17-06-2021 19:11,52,2632
1623957354,17-06-2021 19:15,52,2607
1623957600,17-06-2021 19:20,51,2610
1623957813,17-06-2021 19:23,51,2657
1623958001,17-06-2021 19:26,52,2635
1623958216,17-06-2021 19:30,51,2639
1623958431,17-06-2021 19:33,51,2600
1623958637,17-06-2021 19:37,51,2592
1623958839,17-06-2021 19:40,51,2635
1623959073,17-06-2021 19:44,50,2660
1623959248,17-06-2021 19:47,50,2650
1623959436,17-06-2021 19:50,50,2625
1623959634,17-06-2021 19:53,50,2585
1623959840,17-06-2021 19:57,49,2632
1623960008,17-06-2021 20:00,49,2646
1623960227,17-06-2021 20:03,49,2639
1623960441,17-06-2021 20:07,49,2621
1623960641,17-06-2021 20:10,48,2585
1623960698,17-06-2021 20:11,48,2607
1623960732,17-06-2021 20:12,48,2596
1623960819,17-06-2021 20:13,48,2603
1623960908,17-06-2021 20:15,48,2639
1623961053,17-06-2021 20:17,48,2639
1623961389,17-06-2021 20:23,48,2646
1623961827,17-06-2021 20:30,47,2671
1623962199,17-06-2021 20:36,47,2696
1623962456,17-06-2021 20:40,47,2700
1623963243,17-06-2021 20:54,45,2725
1623963688,17-06-2021 21:01,45,2742
1623964287,17-06-2021 21:11,44,2753
1623964665,17-06-2021 21:17,43,2767
1623965073,17-06-2021 21:24,43,2771
1623965254,17-06-2021 21:27,42,2767
1623965496,17-06-2021 21:31,42,2782
1623965916,17-06-2021 21:38,41,2778
1623966278,17-06-2021 21:44,41,2796
1623966812,17-06-2021 21:53,40,2782
1623967265,17-06-2021 22:01,40,2796
1623967628,17-06-2021 22:07,39,2807
1623967902,17-06-2021 22:11,39,2782
1623968257,17-06-2021 22:17,38,2810
1623968479,17-06-2021 22:21,38,2800
1623968674,17-06-2021 22:24,38,2814
1623969058,17-06-2021 22:30,38,2800
1623969408,17-06-2021 22:36,37,2825
1623970044,17-06-2021 22:47,37,2817
1623970459,17-06-2021 22:54,36,2807
1623970867,17-06-2021 23:01,35,2814
1623971257,17-06-2021 23:07,33,2850
1623971666,17-06-2021 23:14,32,2828
1623972112,17-06-2021 23:21,31,2846
1623972749,17-06-2021 23:32,30,2825
1623973269,17-06-2021 23:41,28,2767
1623973928,17-06-2021 23:52,25,2725
1623974644,18-06-2021 00:04,22,2632
1623975214,18-06-2021 00:13,19,2564
1623975634,18-06-2021 00:20,17,2475
1623975679,18-06-2021 00:21,17,2475
1623975775,18-06-2021 00:22,16,2464
1623976035,18-06-2021 00:27,15,2428
1623976434,18-06-2021 00:33,13,2389
1623976850,18-06-2021 00:40,10,2300
1623977269,18-06-2021 00:47,8,2257
1623977651,18-06-2021 00:54,6,2189
1623978258,18-06-2021 01:04,1,2092
1623978697,18-06-2021 01:11,0,1939
1623979068,18-06-2021 01:17,0,1817
1624003043,18-06-2021 07:57,25,5575
1624003091,18-06-2021 07:58,25,4257
1624003153,18-06-2021 07:59,27,3067
1624077887,19-06-2021 04:44,19,2285
1624077918,19-06-2021 04:45,18,2257
1624077949,19-06-2021 04:45,18,2253
1624077981,19-06-2021 04:46,18,2250
1624078036,19-06-2021 04:47,18,2221
1624078107,19-06-2021 04:48,17,2200
1624078198,19-06-2021 04:49,17,2189
1624078489,19-06-2021 04:54,16,2060
1624078841,19-06-2021 05:00,13,1978
1624079242,19-06-2021 05:07,11,1964
1624079858,19-06-2021 05:17,7,1842
1624080151,19-06-2021 05:22,6,1800
1624080151,19-06-2021 05:22,6,1800
1624080182,19-06-2021 05:23,5,1785
1624080251,19-06-2021 05:24,5,1785
1624080495,19-06-2021 05:28,4,1735
1624080894,19-06-2021 05:34,0,1617
1624081145,19-06-2021 05:39,0,1567
1624081527,19-06-2021 05:45,0,1428
1624082089,19-06-2021 05:54,0,2564
1624082120,19-06-2021 05:55,0,2560
1624082490,19-06-2021 06:01,0,2475
1624082777,19-06-2021 06:06,1,2464
1624083114,19-06-2021 06:11,16,2585
1624083437,19-06-2021 06:17,43,2689
1624083738,19-06-2021 06:22,49,2689
1624084352,19-06-2021 06:32,55,2685
1624084805,19-06-2021 06:40,59,2689
1624085168,19-06-2021 06:46,62,2675
1624085621,19-06-2021 06:53,66,2707
1624085977,19-06-2021 06:59,67,2700
1624086363,19-06-2021 07:06,69,2728
1624086773,19-06-2021 07:12,71,2732
1624087383,19-06-2021 07:23,74,2739
1624088219,19-06-2021 07:36,77,2732
1624088634,19-06-2021 07:43,84,2728
1624088732,19-06-2021 07:45,84,2721
1624088809,19-06-2021 07:46,85,2714
1624089140,19-06-2021 07:52,87,2742
1624089487,19-06-2021 07:58,90,2746
1624089846,19-06-2021 08:04,93,2771
1624090146,19-06-2021 08:09,95,2764
1624090490,19-06-2021 08:14,98,2767
1624090956,19-06-2021 08:22,100,2785
1624091338,19-06-2021 08:28,100,2753
1624091746,19-06-2021 08:35,100,2735
1624092134,19-06-2021 08:42,100,2707
1624092347,19-06-2021 08:45,100,2696
1624092496,19-06-2021 08:48,100,2700
1624092726,19-06-2021 08:52,100,2707
1624093251,19-06-2021 09:00,100,2671
1624093362,19-06-2021 09:02,100,2653
1624094103,19-06-2021 09:15,100,2621
1624094567,19-06-2021 09:22,100,2546
1624095029,19-06-2021 09:30,100,2632
1624095729,19-06-2021 09:42,100,2428
1624096241,19-06-2021 09:50,100,2360
1624096501,19-06-2021 09:55,100,2367
1624096671,19-06-2021 09:57,100,2360
1624097034,19-06-2021 10:03,100,2335
1624097994,19-06-2021 10:19,100,2314
1624098311,19-06-2021 10:25,100,2303
1624098417,19-06-2021 10:26,100,2317
1624098874,19-06-2021 10:34,100,2285
1624099478,19-06-2021 10:44,100,2317
1624100181,19-06-2021 10:56,98,2203
1624100750,19-06-2021 11:05,97,2257
1624101530,19-06-2021 11:18,96,2321
1624102349,19-06-2021 11:32,94,2332
1624103302,19-06-2021 11:48,93,2350
1624103559,19-06-2021 11:52,93,2325
1624104487,19-06-2021 12:08,92,2353
1624105089,19-06-2021 12:18,91,2367
1624105787,19-06-2021 12:29,91,2385
1624106386,19-06-2021 12:39,91,2435
1624106764,19-06-2021 12:46,91,2428
1624107322,19-06-2021 12:55,91,2428
1624107998,19-06-2021 13:06,90,2428
1624108677,19-06-2021 13:17,90,2450
1624109069,19-06-2021 13:24,90,2457
1624109468,19-06-2021 13:31,90,2471
1624109863,19-06-2021 13:37,90,2467
1624110268,19-06-2021 13:44,89,2457
1624110660,19-06-2021 13:51,89,2467
