Date Time,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
23-10-2021 12:01,34.13999939,31.2140007,945.7103271,78.10934448,65.85957336,88.1971817,400,2432,1624,1183,0.04803903,-0.096078061,0.016013011,768,64000,256,0,0,229.1855621,260.5579834,261.3294678,261.4603882,261.5206909,32.74591446,34.79096222,34.92319489,34.94964218,0.548608184,18,-352,0,98,4139,30,30,30,30,120,30,30,30,30,30,30,1,1,25.711765,-81,-55,4,17.45236667,78.34384333,1.799999952,1.63497E+12
23-10-2021 12:01,34.27999878,28.97999954,945.4412842,76.05229187,72.78466034,78.82843781,400,2225,1624,1123,0.032026023,-0.032026023,0,512,65024,0,0,0,241.8973236,274.7409363,275.3735657,275.4749146,275.5334167,34.50431061,36.48744965,36.48781586,36.48790359,0.517743826,0,373,0,98,4132,30,30,30,30,120,30,30,30,30,30,30,1,1,27.200003,-76,-55,4,17.45086333,78.34628833,2.599999905,1.63497E+12
23-10-2021 12:02,34.34999847,28.22299957,944.6231079,75.32915497,71.8746109,85.60574341,381,2117,1569,1088,-0.064052045,-0.032026023,0.080065049,64512,65024,1280,0,0,220.4569702,250.4648895,251.092392,251.1950836,251.2498474,31.46227264,33.31880188,33.35817337,33.36605072,0.542841554,0,482,0,98,4128,30,30,30,30,120,30,30,30,30,30,30,1,1,28.058823,-81,-55,4,17.44906667,78.348625,2.400000095,1.63497E+12
23-10-2021 12:02,34.27000046,26.27899933,945.3607788,75.06495667,71.81428528,83.89107513,372,1953,1548,1043,0.032026023,0,0.04803903,512,0,768,0,0,253.598587,288.0314026,288.6949768,288.8012695,288.8626709,36.17348862,38.25287628,38.25352097,38.25366592,0.529613137,0,944,0,98,4130,30,30,30,30,120,30,30,30,30,30,30,1,1,25.988235,-83,-55,4,17.44700667,78.35071833,1.799999952,1.63497E+12
23-10-2021 12:03,34.22000122,27.5529995,946.0413818,73.80368042,71.73278809,77.96910095,372,1960,1548,1050,-0.04803903,-0.016013011,-0.064052045,64768,65280,64512,0,0,227.2583618,258.1213684,258.7204895,258.8166809,258.8717957,32.41771698,34.28543472,34.28942871,34.29024506,0.538849592,9,-177,0,98,4135,30,30,30,30,120,30,30,30,30,30,30,1,1,26.619999,-84,-55,4,17.44529667,78.35249167,1.799999952,1.63497E+12
23-10-2021 12:03,34.20000076,28.15200043,945.8018799,72.22052002,62.44952393,76.81453705,394,2057,1602,1077,0.032026023,-0.032026023,-0.016013011,512,65024,65280,0,0,269.6250916,306.2337646,306.9391174,307.052124,307.1173706,38.45947647,40.67015457,40.67073822,40.67086792,0.5036906,1,-17,0,98,4110,30,30,30,30,120,30,30,30,30,30,30,1,1,27.123526,-83,-55,4,17.445295,78.35249667,1,1.63497E+12
23-10-2021 12:04,34.22000122,29.93099976,945.8328247,68.8897171,63.31481171,77.92260742,427,2175,1702,1117,-0.032026023,0.032026023,-0.128104091,65024,512,63488,0,0,300.7332458,341.5644531,342.3504028,342.4762573,342.5490112,42.89650345,45.36145401,45.36148071,45.36148071,0.518831491,26,-513,0,97,4132,30,30,30,30,120,30,30,30,30,30,30,1,1,27.133333,-80,-55,4,17.44491333,78.35266333,1.700000048,1.63497E+12
23-10-2021 12:04,34.27000046,28.75799942,945.8314819,74.97546387,68.02310181,79.98466492,475,2128,1831,1098,0.096078061,-0.096078061,0.016013011,1536,64000,256,0,0,235.7782135,267.7939453,268.4125671,268.5117493,268.5688477,33.6321106,35.56702042,35.56891251,35.56927109,0.542681575,22,-442,0,97,4125,30,30,30,30,120,30,30,30,30,30,30,1,1,26.6625,-68,-55,4,17.44378667,78.351055,1.799999952,1.63497E+12
23-10-2021 12:05,34.33000183,28.54000092,945.9230957,77.73696899,74.84037781,80.2077179,446,2164,1750,1100,-0.080065049,-0.04803903,0.3042472,64256,64768,4864,0,0,205.544754,233.4557648,233.9955139,234.0820618,234.1318665,29.31965828,31.00686264,31.00884438,31.00923157,0.5363307,47,-943,0,97,4118,30,30,30,30,120,30,30,30,30,30,30,1,1,27.48235,-90,-55,4,17.441835,78.34989333,1.700000048,1.63497E+12
23-10-2021 12:05,34.31000137,27.55800056,944.8521118,80.29096985,77.5785675,82.59149933,418,1982,1675,1052,0.016013011,-0.032026023,0.112091072,256,65024,1792,0,0,218.2951355,248.1337738,248.8395233,248.9583282,249.0149536,31.18063545,33.10045242,33.20412064,33.22486877,0.552142859,53,-1065,0,97,4118,30,30,30,30,120,30,30,30,30,30,30,1,1,26.2,-101,-55,4,17.43981667,78.348855,1.799999952,1.63497E+12
