,Date Time, Monitor ID, Location ID, SO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.location.lat,data.location.lon,data.location.acc,data.timestamp
23,2021-10-23 11:55:00,1,1,0.0,28.59,42.287,947.469,521.0,6335.0,1956.0,2279.0,661.0,-13184.0,0.0,100.0,17.446,78.351,39.6,1634970266552.0
25,2021-10-23 11:57:00,1,1,0.0,29.57,38.431,947.414,413.0,4282.0,1659.0,1697.0,271.0,-5405.0,0.0,100.0,17.446,78.351,50.213,1634970366731.0
26,2021-10-23 11:58:00,1,1,0.0,30.56,41.881,947.326,452.0,3914.0,1768.0,1591.0,431.0,-8601.0,0.0,99.0,17.446,78.351,30.0,1634970472223.0
27,2021-10-23 11:59:00,1,1,0.0,30.87,46.142,947.364,453.0,3821.0,1765.0,1572.0,345.0,-6889.0,0.0,99.0,17.446,78.351,36.9,1634970503264.0
29,2021-10-23 12:01:00,1,1,0.0,31.83,33.366,946.497,422.0,3164.0,1682.0,1389.0,212.0,-4229.0,0.0,99.0,17.448,78.35,142.5,1634970604231.0
31,2021-10-23 12:03:00,1,1,0.0,32.75,30.433,946.487,410.0,2814.0,1651.0,1284.0,128.0,-2544.0,0.0,99.0,17.448,78.35,142.5,1634970748533.0
33,2021-10-23 12:05:00,1,1,0.0,33.27,30.497,947.113,461.5,2938.5,1791.5,1317.5,131.0,-2610.0,0.0,98.0,17.447,78.354,122.4,1634970871147.0
35,2021-10-23 12:07:00,1,1,0.3,34.06,29.325,945.766,434.0,2785.0,1717.0,1277.0,133.0,-2648.0,0.0,98.0,17.44,78.35,122.4,1634971011264.0
36,2021-10-23 12:08:00,1,1,0.4,34.34,28.635,946.456,425.0,2810.0,1693.0,1281.0,101.0,-2012.0,0.0,97.0,17.44,78.35,122.4,1634971078843.0
38,2021-10-23 12:10:00,1,1,0.2,34.55,28.478,948.944,433.0,2803.0,1710.0,1282.0,78.0,-1564.0,0.0,97.0,17.424,78.341,110.0,1634971146610.0
40,2021-10-23 12:12:00,1,1,0.0,35.3,29.636,950.065,526.0,3007.0,1973.0,1347.0,202.0,-4036.0,0.0,97.0,17.424,78.34,38.796,1634971278782.0
42,2021-10-23 12:14:00,1,1,0.1,35.735,28.3,949.301,464.0,2824.5,1800.0,1290.0,77.5,-1543.0,0.0,97.0,17.427,78.337,87.6,1634971407871.5
43,2021-10-23 12:15:00,1,1,0.0,35.88,26.771,949.992,411.0,2685.0,1650.0,1248.0,38.0,-759.0,0.0,96.0,17.427,78.34,142.5,1634971496833.0
45,2021-10-23 12:17:00,1,1,0.0,36.1,27.667,949.987,451.0,2750.0,1772.0,1267.0,93.0,-1865.0,0.0,96.0,17.424,78.341,30.176,1634971568582.0
46,2021-10-23 12:18:00,1,1,0.0,36.16,25.574,949.7,417.0,2525.0,1666.0,1211.0,0.0,170.0,0.0,96.0,17.424,78.347,48.932,1634971665576.0
48,2021-10-23 12:20:00,1,1,0.0,35.95,26.151,950.856,421.0,2667.0,1682.0,1247.0,15.0,-301.0,0.0,96.0,17.423,78.352,41.043,1634971778233.0
49,2021-10-23 12:21:00,1,1,0.1,36.05,26.659,951.063,464.0,2753.0,1803.0,1271.0,80.0,-1600.0,0.0,96.0,17.418,78.362,142.5,1634971844650.0
50,2021-10-23 12:22:00,1,1,0.0,36.17,26.801,951.061,433.0,2714.0,1707.0,1258.0,84.0,-1670.0,0.0,95.0,17.419,78.354,56.1,1634971887781.0
51,2021-10-23 12:23:00,1,1,0.0,36.28,25.875,951.125,469.0,2750.0,1811.0,1272.0,79.0,-1576.0,0.0,95.0,17.419,78.354,42.832,1634971948382.0
53,2021-10-23 12:25:00,1,1,0.0,36.41,25.49,950.899,432.0,2725.0,1710.0,1261.0,52.0,-1030.0,0.0,95.0,17.419,78.358,87.6,1634972056898.0
54,2021-10-23 12:26:00,1,1,0.0,36.33,25.682,951.684,445.0,2758.5,1746.5,1271.5,22.5,-454.0,0.0,95.0,17.417,78.366,77.943,1634972137305.5
56,2021-10-23 12:28:00,1,1,0.0,36.32,24.97,951.768,439.0,2650.0,1730.0,1241.0,90.0,-1798.0,0.0,95.0,17.417,78.37,54.948,1634972231796.0
57,2021-10-23 12:29:00,1,1,0.0,36.48,26.058,951.709,504.0,2714.0,1919.0,1261.0,194.0,-3866.0,0.0,95.0,17.414,78.368,25.622,1634972324808.0
61,2021-10-23 12:33:00,1,1,0.0,36.67,25.762,952.707,451.0,2750.0,1760.0,1267.0,53.0,-1054.0,0.0,95.0,17.409,78.375,98.4,1634972535113.0
63,2021-10-23 12:35:00,1,1,0.1,37.06,25.33,953.485,488.0,2907.0,1862.0,1308.0,121.0,-2419.0,0.0,95.0,17.406,78.377,16.792,1634972700067.0
65,2021-10-23 12:37:00,1,1,0.0,37.45,25.24,953.585,537.0,2996.0,2005.0,1339.0,172.0,-3438.0,0.0,94.0,17.403,78.377,29.763,1634972807794.0
66,2021-10-23 12:38:00,1,1,0.1,37.46,23.728,954.17,462.0,2771.0,1796.0,1272.0,56.0,-1112.0,0.0,94.0,17.403,78.379,22.503,1634972868405.0
67,2021-10-23 12:39:00,1,1,0.1,37.37,24.523,954.263,501.0,2928.0,1906.0,1321.0,38.0,-764.0,0.0,94.0,17.402,78.383,16.924,1634972924258.0
68,2021-10-23 12:40:00,1,1,0.1,37.21,22.866,953.474,483.0,2725.0,1850.0,1262.0,39.0,-776.0,0.0,94.0,17.401,78.386,64.032,1634972982293.0
70,2021-10-23 12:42:00,1,1,0.0,37.12,25.124,953.483,480.0,2889.0,1845.0,1311.0,73.0,-1452.0,0.0,94.0,17.401,78.39,38.188,1634973109100.0
74,2021-10-23 12:46:00,1,1,0.1,37.52,23.817,953.262,438.0,2785.0,1727.0,1284.0,78.0,-1554.0,0.0,94.0,17.395,78.39,53.369,1634973331303.0
77,2021-10-23 12:49:00,1,1,0.0,37.62,23.994,953.494,456.0,2817.0,1770.0,1292.0,48.0,-965.0,0.0,94.0,17.398,78.39,26.913,1634973492888.0
78,2021-10-23 12:50:00,1,1,0.1,37.56,24.262,953.101,506.0,2903.0,1918.0,1308.0,84.0,-1673.0,0.0,93.0,17.401,78.391,42.46,1634973574575.0
80,2021-10-23 12:52:00,1,1,0.2,37.27,23.73,953.05,455.0,2764.0,1777.0,1274.0,76.0,-1523.0,0.0,93.0,17.402,78.399,45.307,1634973718877.0
84,2021-10-23 12:56:00,1,1,0.1,37.79,23.769,953.826,550.0,3085.0,2049.0,1367.0,126.0,-2506.0,0.0,93.0,17.392,78.4,21.714,1634973951601.0
87,2021-10-23 12:59:00,1,1,0.2,38.15,23.282,954.177,498.0,2914.0,1896.0,1320.0,91.0,-1823.0,0.0,93.0,17.387,78.401,39.322,1634974128097.0
90,2021-10-23 13:02:00,1,1,0.1,38.24,23.41,954.859,549.0,3032.0,2043.0,1353.0,96.0,-1918.0,0.0,93.0,17.383,78.406,15.013,1634974302615.0
91,2021-10-23 13:03:00,1,1,0.1,38.2,23.039,955.173,572.0,3082.0,2107.0,1364.0,89.0,-1784.0,0.0,93.0,17.382,78.407,55.647,1634974363231.0
93,2021-10-23 13:05:00,1,1,0.6,38.23,22.608,955.738,523.0,3000.0,1968.0,1339.0,70.0,-1392.0,0.0,92.0,17.38,78.412,28.011,1634974473728.0
