created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature
2021-11-01 11:24:00,1,1, ,0.112,0.069,95.2,40.0,31.26,35.15
2021-11-01 11:25:00,1,1, ,0.088,0.063,96.2,39.5,30.47,35.135
2021-11-01 11:26:00,1,1, ,0.076,0.063,93.05,38.95,29.84,35.11
2021-11-01 11:27:00,1,1, ,0.102,0.064,84.35,38.4,29.67,35.135
2021-11-01 11:28:00,1,1, ,0.096,0.065,85.45,38.7,29.925,35.16
2021-11-01 11:29:00,1,1, ,0.096,0.061,105.45,41.45,30.455,34.95
2021-11-01 11:30:00,1,1, ,0.292,0.098,100.55,39.65,30.415,34.785
2021-11-01 11:31:00,1,1, ,0.105,0.071,97.35,38.5,30.77,34.71
2021-11-01 11:32:00,1,1, ,0.130,0.071,128.75,38.45,29.955,34.595
2021-11-01 11:33:00,1,1, ,0.101,0.070,109.35,35.4,30.46,34.41
2021-11-01 11:34:00,1,1, ,0.086,0.060,117.05,35.2,31.165,33.585
2021-11-01 11:35:00,1,1, ,0.101,0.072,164.2,39.85,31.765,32.895
2021-11-01 11:36:00,1,1, ,0.115,0.073,95.4,37.05,32.245,32.74
2021-11-01 11:37:00,1,1, ,0.132,0.068,173.5,39.45,33.17,32.06
2021-11-01 11:38:00,1,1, ,0.130,0.083,135.95,38.0,34.125,31.48
2021-11-01 11:39:00,1,1, ,0.182,0.080,370.1,47.15,35.76,30.56
2021-11-01 11:40:00,1,1, ,0.607,0.148,75.8,37.75,36.93,30.56
2021-11-01 11:41:00,1,1, ,0.166,0.087,82.0,34.55,37.015,30.695
2021-11-01 11:42:00,1,1, ,0.164,0.112,101.0,37.6,36.3,30.815
2021-11-01 11:43:00,1,1, ,0.108,0.079,102.35,45.4,35.695,30.75
2021-11-01 11:44:00,1,1, ,0.122,0.080,115.15,38.8,35.96,30.615
2021-11-01 11:45:00,1,1, ,0.099,0.069,461.95,72.1,36.375,30.515
2021-11-01 11:46:00,1,1, ,0.085,0.062,169.25,46.95,36.745,30.52
2021-11-01 11:47:00,1,1, ,0.082,0.065,147.6,65.1,36.19,30.53
2021-11-01 11:48:00,1,1, ,0.099,0.067,88.55,42.15,36.005,30.51
2021-11-01 11:49:00,1,1, ,0.097,0.066,119.35,48.15,36.45,30.62
2021-11-01 11:50:00,1,1, ,0.084,0.063,122.0,42.7,35.77,30.67
2021-11-01 11:51:00,1,1, ,0.090,0.065,79.4,40.15,36.325,30.9
2021-11-01 11:52:00,1,1, ,0.094,0.066,81.85,38.95,35.795,30.99
2021-11-01 11:53:00,1,1, ,0.092,0.064,141.0,46.0,36.1,30.83
2021-11-01 11:54:00,1,1, ,0.104,0.075,95.3,41.9,37.025,30.96
2021-11-01 11:55:00,1,1, ,0.086,0.068,79.8,40.3,35.51,31.02
2021-11-01 11:57:00,1,1, ,0.121,0.083,96.4,44.1,36.32,31.33
2021-11-01 11:58:00,1,1, ,0.111,0.077,79.9,38.4,36.075,31.42
2021-11-01 11:59:00,1,1, ,0.103,0.077,104.15,44.8,35.03,31.43
2021-11-01 12:00:00,1,1, ,0.098,0.071,89.3,43.95,34.35,31.635
2021-11-01 12:01:00,1,1, ,0.108,0.068,96.4,53.9,33.825,31.665
2021-11-01 12:02:00,1,1, ,0.115,0.072,107.3,47.15,35.42,31.4
2021-11-01 12:03:00,1,1, ,0.115,0.074,111.55,48.3,35.98,31.425
2021-11-01 12:04:00,1,1, ,0.104,0.072,73.85,42.25,34.6,31.305
2021-11-01 12:05:00,1,1, ,0.112,0.069,93.2,42.85,35.06,31.29
2021-11-01 12:06:00,1,1, ,0.114,0.073,125.35,45.9,35.05,31.395
2021-11-01 12:07:00,1,1, ,0.108,0.069,109.95,41.3,34.87,31.52
2021-11-01 12:08:00,1,1, ,0.120,0.076,110.0,44.2,34.97,31.57
2021-11-01 12:09:00,1,1, ,0.087,0.067,103.85,44.2,34.99,31.685
2021-11-01 12:10:00,1,1, ,0.082,0.067,77.2,36.4,35.65,31.63
2021-11-01 12:11:00,1,1, ,0.149,0.112,92.25,38.85,34.89,31.725
2021-11-01 12:12:00,1,1, ,0.133,0.091,88.1,37.15,34.57,31.67
2021-11-01 12:13:00,1,1, ,0.107,0.082,115.3,41.4,35.01,31.63
2021-11-01 12:15:00,1,1, ,0.103,0.071,86.3,43.9,35.53,31.6
2021-11-01 12:16:00,1,1, ,0.108,0.098,141.85,56.85,34.485,31.655
2021-11-01 12:17:00,1,1, ,0.118,0.109,123.15,54.55,33.965,31.865
2021-11-01 12:18:00,1,1, ,0.100,0.071,83.85,37.65,34.14,31.915
