created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature
2021-11-01 11:05:00,1,1, ,0.079,0.059,53.6,35.45,33.34,35.045
2021-11-01 11:06:00,1,1, ,0.079,0.061,51.25,35.6,33.18,35.045
2021-11-01 11:07:00,1,1, ,0.080,0.062,50.25,35.95,33.22,35.055
2021-11-01 11:08:00,1,1, ,0.080,0.064,49.65,35.8,33.2,35.065
2021-11-01 11:09:00,1,1, ,0.081,0.061,48.05,35.35,33.18,35.065
2021-11-01 11:10:00,1,1, ,0.082,0.059,53.45,36.4,33.02,35.07
2021-11-01 11:11:00,1,1, ,0.076,0.060,49.4,35.95,32.99,35.07
2021-11-01 11:12:00,1,1, ,0.073,0.058,52.35,36.4,32.94,35.08
2021-11-01 11:13:00,1,1, ,0.071,0.059,50.35,36.15,32.815,35.08
2021-11-01 11:14:00,1,1, ,0.074,0.060,52.3,36.5,32.77,35.085
2021-11-01 11:15:00,1,1, ,0.085,0.064,53.4,36.8,32.585,35.085
2021-11-01 11:16:00,1,1, ,0.078,0.061,48.5,36.35,32.67,35.09
2021-11-01 11:17:00,1,1, ,0.184,0.070,50.65,36.7,32.925,35.105
2021-11-01 11:18:00,1,1, ,0.077,0.060,53.7,36.15,32.86,35.1
2021-11-01 11:19:00,1,1, ,0.076,0.063,50.15,36.45,32.425,35.1
2021-11-01 11:20:00,1,1, ,0.083,0.063,49.95,37.0,32.37,35.1
2021-11-01 11:21:00,1,1, ,0.078,0.062,48.4,36.35,32.43,35.11
2021-11-01 11:22:00,1,1, ,0.083,0.063,52.9,36.95,32.53,35.105
2021-11-01 11:23:00,1,1, ,0.080,0.062,48.45,36.15,32.65,35.115
2021-11-01 11:24:00,1,1, ,0.112,0.069,51.65,37.1,32.67,35.115
2021-11-01 11:25:00,1,1, ,0.088,0.063,53.4,37.6,32.41,35.11
2021-11-01 11:26:00,1,1, ,0.076,0.063,54.5,37.8,32.29,35.115
2021-11-01 11:27:00,1,1, ,0.102,0.064,49.85,37.05,32.37,35.12
2021-11-01 11:28:00,1,1, ,0.096,0.065,51.55,37.35,32.33,35.12
2021-11-01 11:29:00,1,1, ,0.096,0.061,50.15,36.6,32.57,35.125
2021-11-01 11:30:00,1,1, ,0.292,0.098,50.85,37.05,32.63,35.13
2021-11-01 11:31:00,1,1, ,0.105,0.071,49.35,36.85,32.45,35.125
2021-11-01 11:32:00,1,1, ,0.130,0.071,48.0,36.9,32.41,35.13
2021-11-01 11:33:00,1,1, ,0.101,0.070,47.5,36.55,32.57,35.125
2021-11-01 11:34:00,1,1, ,0.086,0.060,46.85,36.0,32.67,35.135
2021-11-01 11:35:00,1,1, ,0.101,0.072,46.55,36.65,32.63,35.135
2021-11-01 11:36:00,1,1, ,0.115,0.073,49.0,36.8,32.65,35.14
2021-11-01 11:37:00,1,1, ,0.132,0.068,47.8,36.6,32.49,35.14
2021-11-01 11:38:00,1,1, ,0.130,0.083,47.55,36.5,32.43,35.14
2021-11-01 11:39:00,1,1, ,0.182,0.080,50.75,36.5,32.185,35.14
2021-11-01 11:40:00,1,1, ,0.607,0.148,50.15,36.75,32.05,35.14
2021-11-01 11:41:00,1,1, ,0.166,0.087,47.8,36.45,32.43,35.14
2021-11-01 11:42:00,1,1, ,0.164,0.112,50.55,35.45,32.63,35.165
2021-11-01 11:43:00,1,1, ,0.108,0.079,49.9,36.35,32.69,35.23
2021-11-01 11:44:00,1,1, ,0.122,0.080,47.7,35.35,32.65,35.23
2021-11-01 11:45:00,1,1, ,0.099,0.069,48.9,35.8,32.775,35.23
2021-11-01 11:46:00,1,1, ,0.085,0.062,50.0,35.1,32.69,35.25
2021-11-01 11:47:00,1,1, ,0.082,0.065,45.95,34.6,32.7,35.27
2021-11-01 11:48:00,1,1, ,0.099,0.067,47.0,35.25,32.6,35.29
2021-11-01 11:49:00,1,1, ,0.097,0.066,46.1,35.3,32.65,35.305
2021-11-01 11:50:00,1,1, ,0.084,0.063,49.15,35.35,32.645,35.3
2021-11-01 11:51:00,1,1, ,0.090,0.065,44.95,35.15,32.925,35.2
2021-11-01 11:52:00,1,1, ,0.094,0.066,47.45,35.35,33.205,35.08
2021-11-01 11:53:00,1,1, ,0.092,0.064,45.25,34.65,33.4,34.93
2021-11-01 11:54:00,1,1, ,0.104,0.075,47.65,35.3,33.665,34.85
2021-11-01 11:55:00,1,1, ,0.086,0.068,47.45,35.65,33.92,34.72
2021-11-01 11:56:00,1,1, ,0.112,0.097,47.75,35.2,34.17,34.61
2021-11-01 11:57:00,1,1, ,0.121,0.083,46.8,34.3,34.395,34.51
2021-11-01 11:58:00,1,1, ,0.111,0.077,48.1,34.15,34.615,34.44
2021-11-01 11:59:00,1,1, ,0.103,0.077,44.9,34.95,34.64,34.37
2021-11-01 12:00:00,1,1, ,0.098,0.071,48.5,34.6,34.82,34.305
2021-11-01 12:01:00,1,1, ,0.108,0.068,48.85,34.55,35.05,34.24
2021-11-01 12:02:00,1,1, ,0.115,0.072,47.3,34.55,35.22,34.185
2021-11-01 12:03:00,1,1, ,0.115,0.074,48.25,34.5,35.385,34.125
2021-11-01 12:04:00,1,1, ,0.104,0.072,45.5,35.05,35.49,34.07
2021-11-01 12:05:00,1,1, ,0.112,0.069,45.3,34.15,35.575,34.02
2021-11-01 12:06:00,1,1, ,0.114,0.073,44.3,34.2,35.775,33.98
2021-11-01 12:07:00,1,1, ,0.108,0.069,44.45,34.35,35.96,33.97
2021-11-01 12:08:00,1,1, ,0.120,0.076,46.85,34.7,35.96,33.97
2021-11-01 12:09:00,1,1, ,0.087,0.067,44.45,34.65,35.98,33.95
2021-11-01 12:10:00,1,1, ,0.082,0.067,43.1,34.55,36.015,33.92
2021-11-01 12:11:00,1,1, ,0.149,0.112,47.9,35.15,35.995,33.905
2021-11-01 12:12:00,1,1, ,0.133,0.091,45.2,34.65,36.015,33.89
2021-11-01 12:13:00,1,1, ,0.107,0.082,46.2,33.5,36.015,33.88
2021-11-01 12:14:00,1,1, ,0.096,0.071,45.0,34.05,35.945,33.925
2021-11-01 12:15:00,1,1, ,0.103,0.071,46.65,34.05,35.845,33.97
2021-11-01 12:16:00,1,1, ,0.108,0.098,48.65,35.05,35.7,34.065
2021-11-01 12:17:00,1,1, ,0.118,0.109,46.7,34.65,35.68,34.15
2021-11-01 12:18:00,1,1, ,0.100,0.071,48.6,34.45,35.595,34.235
2021-11-01 12:19:00,1,1, ,0.129,0.078,49.35,36.9,35.475,34.32
2021-11-01 12:20:00,1,1, ,0.123,0.080,49.1,36.25,35.36,34.38
2021-11-01 12:21:00,1,1, ,0.100,0.076,48.25,35.75,35.475,34.455
2021-11-01 12:22:00,1,1, ,0.132,0.075,47.6,35.55,35.505,34.48
2021-11-01 12:23:00,1,1, ,0.140,0.081,48.05,35.7,35.46,34.49
2021-11-01 12:24:00,1,1, ,0.108,0.070,54.0,37.0,35.225,34.525
2021-11-01 12:25:00,1,1, ,0.106,0.070,49.55,36.75,35.13,34.56
2021-11-01 12:26:00,1,1, ,0.132,0.079,50.65,36.9,35.065,34.615
2021-11-01 12:27:00,1,1, ,0.109,0.076,50.3,36.7,35.005,34.665
2021-11-01 12:28:00,1,1, ,0.109,0.071,50.8,36.4,34.935,34.715
2021-11-01 12:29:00,1,1, ,0.156,0.088,49.1,36.05,34.82,34.785
2021-11-01 12:30:00,1,1, ,0.123,0.076,49.0,36.15,34.715,34.82
2021-11-01 12:31:00,1,1, ,0.137,0.071,48.8,35.95,34.7,34.87
2021-11-01 12:32:00,1,1, ,0.390,0.109,47.25,36.5,34.665,34.93
2021-11-01 12:33:00,1,1, ,0.180,0.081,51.05,36.95,34.53,34.93
2021-11-01 12:34:00,1,1, ,0.255,0.090,47.35,37.1,34.45,34.93
2021-11-01 12:35:00,1,1, ,0.105,0.067,47.15,36.15,34.37,34.96
2021-11-01 12:36:00,1,1, ,0.119,0.073,48.1,36.75,34.29,35.015
2021-11-01 12:37:00,1,1, ,0.123,0.080,48.65,36.2,34.25,35.06
2021-11-01 12:38:00,1,1, ,0.120,0.071,47.1,36.35,34.175,35.095
2021-11-01 12:39:00,1,1, ,0.106,0.070,48.9,36.05,34.1,35.125
