created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-02 12:38:00,1,1, , , ,0.0,35.222,0.278,190.222,94.222,29.972,55.789,948.964
2021-11-02 12:39:00,1,1, , , ,0.0,34.789,0.158,117.895,115.368,31.369,53.01,948.243
2021-11-02 12:40:00,1,1, , , ,0.0,38.0,0.0,54.222,125.333,32.146,50.687,948.657
2021-11-02 12:41:00,1,1, , , ,0.0,41.833,0.167,37.333,120.0,31.822,50.982,949.324
2021-11-02 12:42:00,1,1, , , ,0.0,44.111,0.111,56.889,115.556,32.018,50.635,948.909
2021-11-02 12:43:00,1,1, , , ,0.0,44.526,0.263,75.789,112.0,32.082,50.606,949.734
2021-11-02 12:44:00,1,1, , , ,0.1,44.111,0.056,80.0,112.0,31.972,51.399,949.758
2021-11-02 12:45:00,1,1, , , ,0.1,45.632,0.842,48.0,138.947,32.545,50.204,950.305
2021-11-02 12:46:00,1,1, , , ,0.1,45.333,0.778,0.889,143.111,33.087,48.376,951.377
2021-11-02 12:47:00,1,1, , , ,0.1,46.0,0.316,0.0,141.474,33.154,48.827,950.985
2021-11-02 12:48:00,1,1, , , ,0.1,45.882,0.647,0.0,145.882,33.765,46.804,951.718
2021-11-02 12:49:00,1,1, , , ,0.1,55.316,0.421,4.211,159.158,34.433,45.482,951.63
2021-11-02 12:50:00,1,1, , , ,0.0,56.056,0.222,24.889,135.111,33.363,47.245,951.149
2021-11-02 12:51:00,1,1, , , ,0.0,51.944,0.111,64.889,104.889,31.557,51.094,950.959
2021-11-02 12:52:00,1,1, , , ,0.0,45.737,0.053,91.789,119.579,31.825,51.168,951.212
2021-11-02 12:53:00,1,1, , , ,0.1,43.389,0.056,179.556,112.0,32.206,50.839,951.522
2021-11-02 12:54:00,1,1, , , ,0.1,42.143,0.143,92.571,138.286,33.16,48.458,950.778
2021-11-02 12:55:00,1,1, , , ,0.0,43.875,0.0,40.0,114.0,31.939,51.727,951.376
2021-11-02 12:56:00,1,1, , , ,0.0,41.667,0.0,120.0,112.0,31.514,52.135,951.633
2021-11-02 12:57:00,1,1, , , ,0.1,40.579,0.0,137.263,113.684,31.726,51.587,951.323
2021-11-02 12:58:00,1,1, , , ,0.1,39.111,-0.111,206.222,96.889,30.366,54.799,952.18
2021-11-02 12:59:00,1,1, , , ,0.2,37.1,0.05,207.2,116.8,32.196,50.627,952.213
2021-11-02 13:00:00,1,1, , , ,0.1,39.222,-0.056,200.889,118.222,32.347,49.665,952.022
2021-11-02 13:01:00,1,1, , , ,0.1,43.375,0.062,86.0,156.0,33.411,46.911,952.082
2021-11-02 13:02:00,1,1, , , ,0.1,52.056,0.111,23.111,143.111,33.116,48.608,951.912
2021-11-02 13:03:00,1,1, , , ,0.1,57.158,0.211,23.579,160.0,33.81,47.171,951.37
2021-11-02 13:04:00,1,1, , , ,0.0,62.0,0.158,43.789,179.368,34.627,45.399,951.344
2021-11-02 13:05:00,1,1, , , ,0.0,58.778,0.389,5.333,169.778,34.488,45.514,952.174
2021-11-02 13:06:00,1,1, , , ,0.0,52.316,1.368,0.0,187.789,35.919,43.043,952.1
2021-11-02 13:07:00,1,1, , , ,0.0,68.222,0.611,0.889,165.333,34.198,45.763,951.268
2021-11-02 13:08:00,1,1, , , ,0.2,64.474,0.368,0.0,192.842,34.974,44.546,951.487
2021-11-02 13:09:00,1,1, , , ,0.2,71.833,0.111,0.0,231.111,37.029,40.3,950.338
2021-11-02 13:10:00,1,1, , , ,0.1,76.684,0.0,0.0,187.789,35.576,42.938,952.088
2021-11-02 13:11:00,1,1, , , ,0.1,71.0,0.167,3.556,155.556,33.792,46.187,952.388
2021-11-02 13:12:00,1,1, , , ,0.1,60.1,0.2,16.8,131.2,32.67,48.629,952.369
2021-11-02 13:13:00,1,1, , , ,0.1,50.632,0.053,217.263,112.0,31.264,52.397,951.737
2021-11-02 13:14:00,1,1, , , ,0.0,42.6,-0.05,380.8,106.4,30.574,53.861,951.263
2021-11-02 13:15:00,1,1, , , ,0.0,39.053,0.053,317.474,112.842,31.049,53.161,951.445
2021-11-02 13:16:00,1,1, , , ,0.0,36.65,0.0,362.4,104.0,30.59,54.063,950.403
2021-11-02 13:17:00,1,1, , , ,0.1,35.263,0.053,335.158,111.158,30.785,53.322,950.458
2021-11-02 13:18:00,1,1, , , ,0.1,37.158,0.263,168.421,125.474,31.842,50.715,950.552
2021-11-02 13:19:00,1,1, , , ,0.1,41.556,0.278,129.778,128.889,32.617,49.483,949.996
2021-11-02 13:20:00,1,1, , , ,0.1,51.412,0.706,35.765,160.0,34.165,46.093,949.524
2021-11-02 13:21:00,1,1, , , ,0.2,47.0,0.722,27.556,144.889,34.819,44.833,949.319
2021-11-02 13:22:00,1,1, , , ,0.2,47.583,0.333,41.333,137.333,34.215,45.71,949.188
2021-11-02 13:23:00,1,1, , , ,0.1,49.556,0.389,59.556,144.889,34.683,44.995,949.226
2021-11-02 13:24:00,1,1, , , ,0.1,48.875,0.25,83.0,134.0,34.324,45.592,949.206
2021-11-02 13:25:00,1,1, , , ,0.1,43.789,0.263,124.632,126.316,33.779,47.031,949.236
2021-11-02 13:26:00,1,1, , , ,0.0,44.947,0.263,139.789,122.105,32.642,50.262,949.184
2021-11-02 13:27:00,1,1, , , ,0.0,45.105,0.211,180.211,119.579,31.872,51.784,948.94
2021-11-02 13:28:00,1,1, , , ,0.1,43.526,0.105,239.158,114.526,31.679,52.024,948.963
2021-11-02 13:29:00,1,1, , , ,0.3,41.667,0.533,331.733,112.0,31.354,51.964,949.142
2021-11-02 13:30:00,1,1, , , ,0.2,41.316,0.053,240.0,120.421,31.839,50.352,948.733
2021-11-02 13:31:00,1,1, , , ,0.1,40.105,0.211,195.368,117.053,31.632,51.081,948.962
2021-11-02 13:32:00,1,1, , , ,0.1,40.833,0.222,168.889,121.778,31.875,50.438,949.229
2021-11-02 14:23:00,1,1,0.00, , , ,106.2,0.267,0.0,346.667,45.547,27.308,948.053
2021-11-02 14:24:00,1,1,0.00, , , ,105.154,0.462,0.0,256.0,45.816,26.989,948.023
2021-11-02 14:25:00,1,1,0.00, , , ,104.722,0.833,0.0,227.556,45.938,27.201,947.983
2021-11-02 14:26:00,1,1,0.39, , , ,103.222,1.333,0.0,225.778,45.62,26.958,948.005
2021-11-02 14:27:00,1,1,3.14, , , ,102.0,0.833,0.0,232.889,40.659,32.84,948.117
2021-11-02 14:28:00,1,1,4.78, , , ,95.684,0.158,0.0,191.158,35.286,42.075,948.064
2021-11-02 14:29:00,1,1,4.72, , , ,75.526,0.632,49.684,160.842,33.707,46.451,948.278
2021-11-02 14:30:00,1,1,5.07, , , ,58.875,0.375,250.0,132.0,31.949,50.687,948.087
2021-11-02 14:31:00,1,1,8.87, , , ,49.611,0.333,274.667,119.111,30.947,53.678,948.696
2021-11-02 14:32:00,1,1,7.40, , , ,42.722,0.333,321.778,112.0,30.097,56.315,948.379
2021-11-02 14:33:00,1,1,8.78, , , ,37.235,0.529,272.941,108.235,29.753,57.771,949.047
2021-11-02 14:34:00,1,1,10.56, , , ,32.45,0.3,265.6,101.6,29.777,57.625,949.098
2021-11-02 14:35:00,1,1,12.03, , , ,30.722,0.444,255.111,104.889,29.672,58.067,949.177
2021-11-02 14:36:00,1,1,8.58, , , ,31.471,0.353,240.0,100.706,29.642,58.267,949.596
2021-11-02 14:37:00,1,1,8.17, , , ,29.737,0.368,234.947,96.842,29.016,59.972,949.302
2021-11-02 14:38:00,1,1,6.53, , , ,29.211,0.421,224.0,104.421,29.221,59.94,950.1
2021-11-02 14:39:00,1,1,9.66, , , ,31.421,0.632,204.632,115.368,30.017,57.938,950.525
2021-11-02 14:40:00,1,1,7.27, , , ,36.0,0.632,195.368,123.789,30.142,57.385,950.514
2021-11-02 14:41:00,1,1,0.00, , , ,35.368,0.263,192.0,112.0,30.129,57.725,950.453
