Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm)
02 Nov 2021 13:06,1,1, , , ,0.0
02 Nov 2021 13:07,1,1, , , ,0.0
02 Nov 2021 13:08,1,1, , , ,0.2
02 Nov 2021 13:09,1,1, , , ,0.2
02 Nov 2021 13:10,1,1, , , ,0.1
02 Nov 2021 13:11,1,1, , , ,0.1
02 Nov 2021 13:12,1,1, , , ,0.1
02 Nov 2021 13:13,1,1, , , ,0.1
02 Nov 2021 13:14,1,1, , , ,0.0
02 Nov 2021 13:15,1,1, , , ,0.0
02 Nov 2021 13:16,1,1, , , ,0.0
02 Nov 2021 13:17,1,1, , , ,0.1
02 Nov 2021 13:18,1,1, , , ,0.1
02 Nov 2021 13:19,1,1, , , ,0.1
02 Nov 2021 13:20,1,1, , , ,0.1
02 Nov 2021 13:21,1,1, , , ,0.2
02 Nov 2021 13:22,1,1, , , ,0.2
02 Nov 2021 13:23,1,1, , , ,0.1
02 Nov 2021 13:24,1,1, , , ,0.1
02 Nov 2021 13:25,1,1, , , ,0.1
02 Nov 2021 13:26,1,1, , , ,0.0
02 Nov 2021 13:27,1,1, , , ,0.0
02 Nov 2021 13:28,1,1, , , ,0.1
02 Nov 2021 13:29,1,1, , , ,0.3
02 Nov 2021 13:30,1,1, , , ,0.2
02 Nov 2021 13:31,1,1, , , ,0.1
02 Nov 2021 13:32,1,1, , , ,0.1
02 Nov 2021 14:20,1,1,0.00, , , 
02 Nov 2021 14:21,1,1,0.00, , , 
02 Nov 2021 14:22,1,1,0.00, , , 
02 Nov 2021 14:23,1,1,0.00, , , 
02 Nov 2021 14:24,1,1,0.00, , , 
02 Nov 2021 14:25,1,1,0.00, , , 
02 Nov 2021 14:26,1,1,0.39, , , 
02 Nov 2021 14:27,1,1,3.14, , , 
02 Nov 2021 14:28,1,1,4.78, , , 
02 Nov 2021 14:29,1,1,4.72, , , 
02 Nov 2021 14:30,1,1,5.07, , , 
