created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure,time,latitude,longitude,altitude
2021-11-03 15:55:00,1,1, , , ,0.1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2021-11-03 10:25:00,17.48126173,78.41663306,488.223
2021-11-03 15:56:00,1,1, , , ,0.2,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2021-11-03 10:26:00,17.48124104,78.41662976,490.737
2021-11-03 15:57:00,1,1, , , ,0.1,-2828.222,4.667,8.056000000000001,0.444,0.0,0.0,0.0,2021-11-03 10:27:00,17.48124123,78.4166306,490.731
2021-11-03 16:02:00,1,1, , , ,0.1,-7986.8240000000005,20.706,33.118,3.529,30.873,48.77,946.6510000000001,2021-11-03 10:32:00,17.48124826,78.41664335,482.58
2021-11-03 16:03:00,1,1, , , ,0.1,-7865.778,18.667,27.111,4.0,30.796,48.621,946.664,2021-11-03 10:33:00,17.48124699,78.41664431,482.521
2021-11-03 16:04:00,1,1, , , ,0.1,-7731.556,16.889,22.666999999999998,3.833,30.519000000000002,48.55,946.643,2021-11-03 10:34:00,17.48126215,78.41667045,481.979
2021-11-03 16:05:00,1,1, , , ,0.1,-7594.105,18.526,20.737,4.0,30.508000000000003,49.055,946.635,2021-11-03 10:35:00,17.48126697,78.41666456,483.55300000000005
2021-11-03 16:06:00,1,1, , , ,0.1,-7520.842,21.053,18.947,3.7889999999999997,30.342,49.263000000000005,946.725,2021-11-03 10:36:00,17.47920925,78.41862472,478.307
2021-11-03 16:07:00,1,1, , , ,0.1,-7408.941,18.824,18.706,4.235,29.982,50.766000000000005,947.2660000000001,2021-11-03 10:37:00,17.47643761,78.42254618,463.83
2021-11-03 16:08:00,1,1, , , ,0.1,-7333.647,16.0,19.588,4.706,29.865,51.495,947.672,2021-11-03 10:38:00,17.47279613,78.42557027,447.463
2021-11-03 16:09:00,1,1, , , ,0.1,-7344.0,20.211,20.842,4.842,30.105999999999998,50.803000000000004,948.0310000000001,2021-11-03 10:39:00,17.47052896,78.42720414,443.321
2021-11-03 16:10:00,1,1, , , ,0.0,-7360.0,17.778,20.167,5.332999999999999,30.238000000000003,50.597,947.878,2021-11-03 10:40:00,17.46839134,78.42852047,444.283
2021-11-03 16:11:00,1,1, , , ,0.1,-7336.420999999999,17.684,19.684,4.579,30.224,50.776,947.675,2021-11-03 10:41:00,17.46485317,78.43007701,453.221
2021-11-03 16:12:00,1,1, , , ,0.2,-7258.6669999999995,17.778,18.833,4.2780000000000005,30.024,51.248000000000005,946.814,2021-11-03 10:42:00,17.4598952,78.43234340000002,460.616
2021-11-03 16:13:00,1,1, , , ,0.1,-7140.444,16.889,18.055999999999997,3.833,29.651999999999997,51.993,947.19,2021-11-03 10:43:00,17.45665915,78.43521617,453.046
2021-11-03 16:14:00,1,1, , , ,0.1,-7022.316,16.0,19.158,5.053,29.741,51.964,947.002,2021-11-03 10:44:00,17.4570383,78.43821361,443.233
2021-11-03 16:15:00,1,1, , , ,0.1,-6976.889,16.0,18.722,5.111000000000001,29.896,51.583999999999996,947.184,2021-11-03 10:45:00,17.45662659,78.44157311,441.256
2021-11-03 16:16:00,1,1, , , ,0.1,-6912.842,16.0,17.526,4.263,29.849,51.693999999999996,947.45,2021-11-03 10:46:00,17.45654685,78.44223807,435.648
2021-11-03 16:17:00,1,1, , , ,0.1,-6819.368,16.0,15.158,3.2110000000000003,29.845,51.67,947.48,2021-11-03 10:47:00,17.45655249,78.44227588,445.312
2021-11-03 16:18:00,1,1, , , ,0.1,-6745.263000000001,16.0,14.158,3.2110000000000003,29.886,51.64,947.462,2021-11-03 10:48:00,17.45657334,78.44226254,443.684
2021-11-03 16:19:00,1,1, , , ,0.1,-6694.222,16.0,13.389000000000001,3.0,29.918000000000003,51.504,947.495,2021-11-03 10:49:00,17.45658176,78.44228216,448.981
2021-11-03 16:21:00,1,1, , , ,0.1,-6628.210999999999,16.0,12.526,3.0,30.039,51.093999999999994,947.4889999999999,2021-11-03 10:51:00,17.45666027,78.44209174,457.335
2021-11-03 16:22:00,1,1, , , ,0.1,-6597.3330000000005,16.0,12.277999999999999,3.111,30.005,51.315,947.53,2021-11-03 10:52:00,17.45674545,78.44182266,458.122
2021-11-03 16:23:00,1,1, , , ,0.0,-6549.053000000001,16.0,12.105,2.947,29.912,50.915,947.562,2021-11-03 10:53:00,17.45677676,78.44175599,461.052
2021-11-03 16:24:00,1,1, , , ,0.1,-6491.556,16.0,12.167,2.889,29.86,50.766999999999996,947.584,2021-11-03 10:54:00,17.45676029,78.44176426,463.447
2021-11-03 16:25:00,1,1, , , ,0.1,-6435.368,16.0,12.0,3.0,29.84,50.806999999999995,947.6060000000001,2021-11-03 10:55:00,17.45670578,78.44183259999998,467.289
