time,created_at,latitude,longitude,altitude
2021-11-03 09:32:15,2021-11-03 15:02:15,17.45743736,78.36521669,516.425
2021-11-03 09:32:16,2021-11-03 15:02:16,17.45748666,78.36524615,516.41
2021-11-03 09:32:17,2021-11-03 15:02:17,17.45752808,78.36527775,516.5840000000001
2021-11-03 09:32:18,2021-11-03 15:02:18,17.45757169,78.36530753,517.298
2021-11-03 09:32:19,2021-11-03 15:02:19,17.45761706,78.36534091,517.643
2021-11-03 09:32:20,2021-11-03 15:02:20,17.45766082,78.3653707,517.622
2021-11-03 09:32:21,2021-11-03 15:02:21,17.45770731,78.36540878,517.6709999999999
2021-11-03 09:32:22,2021-11-03 15:02:22,17.4577458,78.36545175,517.373
2021-11-03 09:32:23,2021-11-03 15:02:23,17.45778162,78.36547402,517.852
2021-11-03 09:32:24,2021-11-03 15:02:24,17.45779999,78.36549278,517.548
2021-11-03 09:32:25,2021-11-03 15:02:25,17.45782154,78.36551085,517.786
2021-11-03 09:32:26,2021-11-03 15:02:26,17.45784442,78.36552888,517.387
2021-11-03 09:32:27,2021-11-03 15:02:27,17.45787257,78.36554813,517.735
2021-11-03 09:32:28,2021-11-03 15:02:28,17.4579067,78.36557012,517.972
2021-11-03 09:32:29,2021-11-03 15:02:29,17.45795198,78.36559773,517.493
2021-11-03 09:32:30,2021-11-03 15:02:30,17.45798996,78.36562195,517.001
2021-11-03 09:32:31,2021-11-03 15:02:31,17.45802374,78.36564476,516.5269999999999
2021-11-03 09:32:32,2021-11-03 15:02:32,17.45806383,78.36566847,516.4540000000001
2021-11-03 09:32:33,2021-11-03 15:02:33,17.458095800000002,78.36568642,515.442
2021-11-03 09:32:34,2021-11-03 15:02:34,17.45813312,78.36570644,515.019
2021-11-03 09:32:35,2021-11-03 15:02:35,17.4581747,78.36572501,514.533
2021-11-03 09:32:36,2021-11-03 15:02:36,17.45821097,78.36574357,514.023
2021-11-03 09:32:37,2021-11-03 15:02:37,17.45824908,78.36576263,513.337
2021-11-03 09:32:38,2021-11-03 15:02:38,17.45828728,78.36578371,512.386
2021-11-03 09:32:39,2021-11-03 15:02:39,17.45833023,78.36580157,512.057
2021-11-03 09:32:40,2021-11-03 15:02:40,17.45837377,78.36582553,511.995
2021-11-03 09:32:41,2021-11-03 15:02:41,17.45841062,78.36584028,511.93300000000005
2021-11-03 09:32:42,2021-11-03 15:02:42,17.45843244,78.36585186,511.774
2021-11-03 09:32:43,2021-11-03 15:02:43,17.45845144,78.36585790000001,511.88300000000004
2021-11-03 09:32:44,2021-11-03 15:02:44,17.45847174,78.36586081,511.75
2021-11-03 09:32:45,2021-11-03 15:02:45,17.45848973,78.36586648,511.99
2021-11-03 09:32:46,2021-11-03 15:02:46,17.4585072,78.36587261,511.963
2021-11-03 09:32:47,2021-11-03 15:02:47,17.45852584,78.36588143,511.82
2021-11-03 09:32:48,2021-11-03 15:02:48,17.45854529,78.36589091,511.801
2021-11-03 09:32:49,2021-11-03 15:02:49,17.45856681,78.36590122,511.374
2021-11-03 09:32:50,2021-11-03 15:02:50,17.45858386,78.36590863,511.096
2021-11-03 09:32:51,2021-11-03 15:02:51,17.45859198,78.36591182,511.311
2021-11-03 09:32:52,2021-11-03 15:02:52,17.45859899,78.36591379,511.4
2021-11-03 09:32:53,2021-11-03 15:02:53,17.45860564,78.36591643,511.74699999999996
2021-11-03 09:32:54,2021-11-03 15:02:54,17.45860843,78.36591761,512.105
2021-11-03 09:32:55,2021-11-03 15:02:55,17.45860923,78.36591933,511.99
2021-11-03 09:32:56,2021-11-03 15:02:56,17.45860767,78.36592143,512.21
2021-11-03 09:32:57,2021-11-03 15:02:57,17.45860657,78.36592285,512.359
2021-11-03 09:32:58,2021-11-03 15:02:58,17.45860709,78.36592455,512.547
2021-11-03 09:32:59,2021-11-03 15:02:59,17.45860608,78.36592642,512.727
2021-11-03 09:33:00,2021-11-03 15:03:00,17.45860435,78.36592797,512.67
2021-11-03 09:33:01,2021-11-03 15:03:01,17.45860245,78.36592726,512.611
2021-11-03 09:33:02,2021-11-03 15:03:02,17.45860645,78.36592672,512.943
2021-11-03 09:33:03,2021-11-03 15:03:03,17.45861106,78.36592707,513.335
2021-11-03 09:33:04,2021-11-03 15:03:04,17.45861752,78.36592646,513.682
2021-11-03 09:33:05,2021-11-03 15:03:05,17.45862556,78.36592486,513.474
2021-11-03 09:33:07,2021-11-03 15:03:07,17.45865453,78.36592546,514.153
2021-11-03 09:33:08,2021-11-03 15:03:08,17.45867989,78.365933,513.972
2021-11-03 09:33:09,2021-11-03 15:03:09,17.45871816,78.36594688,513.747
2021-11-03 09:33:10,2021-11-03 15:03:10,17.45876201,78.36595886,513.229
2021-11-03 09:33:11,2021-11-03 15:03:11,17.45881278,78.36597077,512.904
2021-11-03 09:33:13,2021-11-03 15:03:13,17.45892268,78.36598981,512.757
