created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),pm10,pm2.5,RH,Temperature,time,latitude,longitude,altitude
2021-11-03 15:02:00,1,1, , , ,0.1,9.9,5.0,27.26,30.33,2021-11-03 09:32:00,17.45662403,78.36480839,521.427
2021-11-03 15:03:00,1,1, , , ,0.0,10.4,4.85,27.39,30.23,2021-11-03 09:33:00,17.45860435,78.36592797,512.67
2021-11-03 15:04:00,1,1, , , ,0.0,12.25,4.8,27.44,30.355,2021-11-03 09:34:00,17.46179414,78.36695403,510.195
2021-11-03 15:05:00,1,1, , , ,0.0,11.7,4.8,28.295,30.44,2021-11-03 09:35:00,17.4620536,78.36695314,508.31
2021-11-03 15:06:00,1,1, , , ,0.0,14.05,8.25,39.66,30.84,2021-11-03 09:36:00,17.46206906,78.3669656,511.037
2021-11-03 15:07:00,1,1, , , ,0.0,19.8,11.2,42.01,31.07,2021-11-03 09:37:00,17.46207528,78.36696758,511.479
2021-11-03 15:08:00,1,1, , , ,0.0,30.75,11.15,35.25,30.95,2021-11-03 09:38:00,17.46358955,78.3671811,508.514
2021-11-03 15:09:00,1,1, , , ,0.1,26.2,9.9,28.815,30.8,2021-11-03 09:39:00,17.46498152,78.36747961,498.835
2021-11-03 15:10:00,1,1, , , ,0.1,17.8,8.35,26.775,30.555,2021-11-03 09:40:00,17.46898902,78.36604415,504.304
2021-11-03 15:11:00,1,1, , , ,0.1,12.55,6.85,26.56,30.415,2021-11-03 09:41:00,17.47312453,78.36436327,508.259
2021-11-03 15:12:00,1,1, , , ,0.1,9.6,5.9,25.89,30.26,2021-11-03 09:42:00,17.47723078,78.36262925,507.295
2021-11-03 15:13:00,1,1, , , ,0.0,9.65,5.6,25.765,30.035,2021-11-03 09:43:00,17.48169641,78.36076603,508.824
2021-11-03 15:14:00,1,1, , , ,0.0,7.35,5.0,25.33,29.935,2021-11-03 09:44:00,17.48663119,78.35755834,509.492
2021-11-03 15:15:00,1,1, , , ,0.0,7.3,5.3,25.72,29.71,2021-11-03 09:45:00,17.49203691,78.35299014,486.402
2021-11-03 15:16:00,1,1, , , ,0.0,8.25,5.15,25.97,29.52,2021-11-03 09:46:00,17.49344454,78.35162833,490.169
2021-11-03 15:17:00,1,1, , , ,0.0,6.85,5.0,26.74,29.33,2021-11-03 09:47:00,17.49444392,78.35266265,477.338
2021-11-03 15:18:00,1,1, , , ,0.0,7.45,4.85,25.62,29.155,2021-11-03 09:48:00,17.49581746,78.35778349,485.888
2021-11-03 15:19:00,1,1, , , ,0.0,7.9,4.7,26.61,28.855,2021-11-03 09:49:00,17.49672308,78.36125377,493.153
2021-11-03 15:20:00,1,1, , , ,0.0,9.1,5.0,26.89,28.665,2021-11-03 09:50:00,17.49672085,78.3612515,496.827
2021-11-03 15:21:00,1,1, , , ,0.1,12.25,5.0,27.075,28.535,2021-11-03 09:51:00,17.49675786,78.36174162,501.645
2021-11-03 15:22:00,1,1, , , ,0.0,10.25,4.5,26.835,28.3,2021-11-03 09:52:00,17.49662607,78.36553478,503.423
2021-11-03 15:23:00,1,1, , , ,0.1,7.9,4.3,26.96,28.155,2021-11-03 09:53:00,17.49659184,78.37194529,516.4630000000002
2021-11-03 15:24:00,1,1, , , ,0.1,8.75,4.45,27.16,27.92,2021-11-03 09:54:00,17.497807,78.37824729,521.849
