created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-03 14:30:00,1,1, , , ,0.0,0.0,16.0,0.0,0.0,33.22,45.618,941.963
2021-11-03 14:31:00,1,1, , , ,0.0,0.0,16.0,-0.105,0.789,33.107,45.884,941.941
2021-11-03 14:32:00,1,1, , , ,0.0,0.0,16.0,0.105,0.316,32.929,46.075,941.913
2021-11-03 14:33:00,1,1, , , ,0.0,0.0,16.0,-0.053,12.211,32.316,47.428,941.868
2021-11-03 14:34:00,1,1, , , ,0.0,0.0,17.6,-0.1,0.3,31.966,48.717,941.873
2021-11-03 14:35:00,1,1, , , ,0.0,0.0,5.6,-0.15,0.1,31.646,49.249,941.769
2021-11-03 14:36:00,1,1, , , ,0.0,0.0,0.842,-0.105,0.158,31.459,49.732,941.805
2021-11-03 14:37:00,1,1, , , ,0.0,0.0,0.0,-0.158,0.316,31.248,49.885,941.767
2021-11-03 14:38:00,1,1, , , ,0.0,0.0,0.0,-0.105,0.421,31.184,50.033,941.752
2021-11-03 14:39:00,1,1, , , ,0.0,0.0,0.0,-0.105,0.421,30.968,50.199,941.738
2021-11-03 14:40:00,1,1, , , ,0.0,0.0,0.0,-0.158,0.368,30.9,50.701,941.636
2021-11-03 14:41:00,1,1, , , ,0.0,0.0,0.0,-0.158,0.263,31.116,50.313,941.728
2021-11-03 14:42:00,1,1, , , ,0.0,0.0,0.0,-0.158,0.105,30.984,50.827,941.719
2021-11-03 14:43:00,1,1, , , ,0.0,0.0,0.0,-0.167,0.278,31.001,50.613,941.733
2021-11-03 14:44:00,1,1, , , ,0.0,0.0,0.0,-0.125,0.5,31.007,50.45,941.709
2021-11-03 15:55:00,1,1, , , ,0.1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2021-11-03 15:56:00,1,1, , , ,0.2,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2021-11-03 15:57:00,1,1, , , ,0.1,-2828.222,4.667,8.056,0.444,0.0,0.0,0.0
2021-11-03 16:02:00,1,1, , , ,0.1,-7986.824,20.706,33.118,3.529,30.873,48.77,946.651
2021-11-03 16:03:00,1,1, , , ,0.1,-7865.778,18.667,27.111,4.0,30.796,48.621,946.664
2021-11-03 16:04:00,1,1, , , ,0.1,-7731.556,16.889,22.667,3.833,30.519,48.55,946.643
2021-11-03 16:05:00,1,1, , , ,0.1,-7594.105,18.526,20.737,4.0,30.508,49.055,946.635
2021-11-03 16:06:00,1,1, , , ,0.1,-7520.842,21.053,18.947,3.789,30.342,49.263,946.725
2021-11-03 16:07:00,1,1, , , ,0.1,-7408.941,18.824,18.706,4.235,29.982,50.766,947.266
2021-11-03 16:08:00,1,1, , , ,0.1,-7333.647,16.0,19.588,4.706,29.865,51.495,947.672
2021-11-03 16:09:00,1,1, , , ,0.1,-7344.0,20.211,20.842,4.842,30.106,50.803,948.031
