created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),pm10,pm2.5,RH,Temperature
2021-11-04 14:36:00,1,1, , , ,0.0,20.2,14.8,40.985,36.03
2021-11-04 14:37:00,1,1, , , ,0.1,28.85,14.85,41.83,35.775
2021-11-04 14:38:00,1,1, , , ,0.1,18.8,13.9,41.92,35.54
2021-11-04 14:39:00,1,1, , , ,0.1,21.35,13.75,42.71,35.53
2021-11-04 14:40:00,1,1, , , ,0.1,26.2,14.2,42.88,35.545
2021-11-04 14:41:00,1,1, , , ,0.1,21.0,13.4,42.56,35.525
2021-11-04 14:42:00,1,1, , , ,0.1,18.9,13.25,41.935,35.405
2021-11-04 14:43:00,1,1, , , ,0.1,69.0,18.65,41.68,35.335
2021-11-04 14:44:00,1,1, , , ,0.0,32.15,14.3,42.025,35.29
2021-11-04 14:45:00,1,1, , , ,0.0,27.15,14.35,42.585,35.09
2021-11-04 14:46:00,1,1, , , ,0.0,18.95,13.25,42.995,34.875
2021-11-04 14:47:00,1,1, , , ,0.1,23.15,13.5,43.44,34.805
2021-11-04 14:48:00,1,1, , , ,0.0,19.15,14.0,43.38,34.795
2021-11-04 14:49:00,1,1, , , ,0.0,23.1,14.2,44.08,34.65
2021-11-04 14:51:00,1,1, , , ,0.0,28.9,16.7,44.19,34.44
2021-11-04 14:52:00,1,1, , , ,0.0,22.95,15.4,44.275,34.445
2021-11-04 14:53:00,1,1, , , ,0.0,27.5,15.25,44.16,34.44
2021-11-04 14:54:00,1,1, , , ,0.0,21.75,14.7,44.16,34.44
2021-11-04 14:55:00,1,1, , , ,0.0,33.45,15.0,44.48,34.43
2021-11-04 14:56:00,1,1, , , ,0.1,60.7,16.65,44.51,34.36
2021-11-04 14:57:00,1,1, , , ,0.1,69.6,17.3,45.43,34.31
2021-11-04 14:59:00,1,1, , , ,0.0,78.3,18.7,38.65,33.57
2021-11-04 15:00:00,1,1, , , ,0.0,71.85,17.8,33.62,33.54
2021-11-04 15:01:00,1,1, , , ,0.0,32.65,14.0,31.19,33.42
2021-11-04 15:02:00,1,1, , , ,0.0,21.55,11.5,29.33,33.15
2021-11-04 15:03:00,1,1, , , ,0.1,16.65,9.6,28.55,32.87
2021-11-04 15:04:00,1,1, , , ,0.0,11.65,8.15,27.835,32.56
2021-11-04 15:05:00,1,1, , , ,0.1,11.9,7.55,27.745,32.195
2021-11-04 15:06:00,1,1, , , ,0.0,10.0,6.6,26.69,31.965
2021-11-04 15:07:00,1,1, , , ,0.1,8.3,5.9,27.41,31.58
2021-11-04 15:08:00,1,1, , , ,0.2,6.7,5.5,26.925,31.29
2021-11-04 15:09:00,1,1, , , ,0.1,7.75,5.0,27.86,30.98
2021-11-04 15:10:00,1,1, , , ,0.1,7.2,4.95,27.585,30.7
2021-11-04 15:11:00,1,1, , , ,0.1,7.65,5.1,28.2,30.405
2021-11-04 15:12:00,1,1, , , ,0.1,6.45,4.65,27.585,30.1
2021-11-04 15:13:00,1,1, , , ,0.1,8.15,4.6,27.97,29.815
2021-11-04 15:14:00,1,1, , , ,0.1,6.05,4.35,28.12,29.505
2021-11-04 15:15:00,1,1, , , ,0.1,6.7,4.5,28.5,29.27
2021-11-04 15:16:00,1,1, , , ,0.1,34.1,9.35,33.33,29.115
2021-11-04 15:17:00,1,1, , , ,0.1,25.15,10.75,36.21,28.94
2021-11-04 15:18:00,1,1, , , ,0.1,17.9,8.75,34.11,28.74
2021-11-04 15:19:00,1,1, , , ,0.1,12.2,7.95,32.95,28.585
2021-11-04 15:20:00,1,1, , , ,0.1,9.65,7.15,32.175,28.44
2021-11-04 15:21:00,1,1, , , ,0.1,10.4,6.75,31.595,28.35
2021-11-04 15:22:00,1,1, , , ,0.0,10.45,6.25,32.03,28.23
2021-11-04 15:23:00,1,1, , , ,0.0,8.1,5.9,31.83,28.13
2021-11-04 15:24:00,1,1, , , ,0.0,7.4,5.4,31.58,28.035
2021-11-04 15:25:00,1,1, , , ,0.1,7.4,5.35,31.79,27.93
2021-11-04 15:26:00,1,1, , , ,0.0,8.75,5.55,32.155,27.835
2021-11-04 15:27:00,1,1, , , ,0.0,7.9,5.35,31.975,27.745
2021-11-04 15:28:00,1,1, , , ,0.1,7.85,5.15,31.8,27.715
2021-11-04 15:29:00,1,1, , , ,0.1,6.45,5.0,31.42,27.65
2021-11-04 15:30:00,1,1, , , ,0.1,7.85,5.45,32.22,27.6
2021-11-04 15:31:00,1,1, , , ,0.1,11.2,5.85,33.17,27.535
2021-11-04 15:32:00,1,1, , , ,0.0,10.3,5.7,32.79,27.455
2021-11-04 15:33:00,1,1, , , ,0.0,11.35,5.5,32.275,27.41
2021-11-04 15:34:00,1,1, , , ,0.1,10.35,5.1,32.36,27.38
2021-11-04 15:35:00,1,1, , , ,0.1,13.95,5.75,32.78,27.335
2021-11-04 15:36:00,1,1, , , ,0.1,10.5,5.85,32.97,27.275
2021-11-04 15:37:00,1,1, , , ,0.1,26.35,10.25,42.05,27.035
2021-11-04 15:38:00,1,1, , , ,0.1,43.1,14.9,40.985,26.795
2021-11-04 15:39:00,1,1, , , ,0.1,27.0,11.85,34.195,26.525
2021-11-04 15:40:00,1,1, , , ,0.1,29.05,10.5,31.85,26.31
2021-11-04 15:41:00,1,1, , , ,0.1,26.3,9.7,32.75,25.78
2021-11-04 15:42:00,1,1, , , ,0.1,21.1,8.75,31.62,25.64
2021-11-04 15:43:00,1,1, , , ,0.1,15.2,8.1,32.46,25.58
