created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-04 14:35:00,1,1, , , ,0.0,0.0,80.0,0.0,1.0,32.98,45.493,941.739
2021-11-04 14:36:00,1,1, , , ,0.0,0.0,79.158,0.0,1.421,33.058,45.593,941.736
2021-11-04 14:37:00,1,1, , , ,0.1,0.0,80.0,-0.056,1.222,33.318,45.177,941.754
2021-11-04 14:38:00,1,1, , , ,0.1,0.0,91.294,0.118,0.941,34.144,43.839,941.736
2021-11-04 14:39:00,1,1, , , ,0.1,0.0,120.0,0.0,1.278,36.709,39.75,941.816
2021-11-04 14:40:00,1,1, , , ,0.1,0.0,83.368,0.053,2.684,38.353,37.871,941.91
2021-11-04 14:41:00,1,1, , , ,0.1,0.0,16.8,0.2,1.45,37.394,39.07,941.934
2021-11-04 14:42:00,1,1, , , ,0.1,0.0,16.0,0.389,0.278,37.388,37.376,941.929
2021-11-04 14:43:00,1,1, , , ,0.1,0.0,16.0,0.0,0.105,37.402,36.887,941.933
2021-11-04 14:44:00,1,1, , , ,0.0,0.0,16.0,0.158,0.526,37.091,37.751,941.903
2021-11-04 14:45:00,1,1, , , ,0.0,0.0,16.0,0.053,0.684,36.857,38.121,941.877
2021-11-04 14:46:00,1,1, , , ,0.0,0.0,16.0,0.0,0.421,36.839,38.151,941.864
2021-11-04 14:47:00,1,1, , , ,0.1,0.0,16.0,0.222,0.611,36.942,37.952,941.856
2021-11-04 14:48:00,1,1, , , ,0.0,0.0,16.0,0.263,0.895,36.822,38.115,941.866
2021-11-04 14:49:00,1,1, , , ,0.0,0.0,16.0,0.25,0.25,36.286,38.73,941.846
2021-11-04 14:50:00,1,1, , , ,0.0,0.0,16.0,0.2,0.533,34.419,41.873,941.903
2021-11-04 14:57:00,1,1, , , ,0.1,0.0,16.0,1.0,1.0,31.755,48.021,942.066
2021-11-04 14:58:00,1,1, , , ,0.0,0.0,16.0,0.222,1.389,31.802,48.021,942.088
2021-11-04 14:59:00,1,1, , , ,0.0,0.0,16.0,0.2,1.65,31.508,48.018,942.172
2021-11-04 15:00:00,1,1, , , ,0.0,0.0,16.842,0.053,1.316,30.613,50.035,941.043
2021-11-04 15:01:00,1,1, , , ,0.0,0.0,16.0,-0.056,1.5,29.698,52.177,941.502
2021-11-04 15:02:00,1,1, , , ,0.0,0.0,16.0,0.167,1.222,29.336,52.912,941.544
2021-11-04 15:03:00,1,1, , , ,0.1,0.0,16.842,-0.158,1.421,29.367,52.442,941.847
2021-11-04 15:04:00,1,1, , , ,0.0,0.0,15.158,0.053,1.947,29.577,51.816,941.325
2021-11-04 15:05:00,1,1, , , ,0.1,0.0,-57.263,-0.316,3.421,29.962,51.507,941.953
2021-11-04 15:06:00,1,1, , , ,0.0,0.0,16.0,0.053,4.0,30.375,50.506,942.0
2021-11-04 15:07:00,1,1, , , ,0.1,0.0,16.0,0.0,3.842,30.556,50.139,942.679
2021-11-04 15:08:00,1,1, , , ,0.2,0.0,16.0,0.105,3.158,30.117,51.22,943.109
2021-11-04 15:09:00,1,1, , , ,0.1,0.0,16.0,0.111,3.0,30.4,50.901,943.161
2021-11-04 15:10:00,1,1, , , ,0.1,0.0,16.0,0.0,3.632,30.515,50.639,942.615
