,Date Time, Monitor ID, Location ID, NO2(ppm),NO2_ppb,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
1,2021-06-22 10:50:00,1,1,0.013000000000000001,13,28.44,42.271,941.618,47.509,46.193,50.904,457.5,6553.0,1780.0,2334.0,0.024,-0.024,-0.032,384.0,65152.0,65024.0,59.015,0.241,48.982,57.478,58.791,59.056,59.106,7.376,9.017,10.033,10.234,0.671,100.0,-2000.0,0.0,30.0,3348.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-55.0,-58.5,4.0,17.445,78.35,17.032,1624339220760.5
2,2021-06-22 10:51:00,1,1,0.017,17,31.23,36.754,941.599,47.598,46.377,48.42,435.0,4540.5,1719.5,1772.0,-0.04,-0.016,0.0,64896.0,65280.0,32768.0,60.665,0.405,49.876,60.195,62.67,63.175,63.259,7.871,10.553,12.358,12.719,0.73,105.5,-2106.5,0.0,31.5,3421.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-61.0,-55.0,4.0,17.445,78.35,14.09,1624339289306.5
4,2021-06-22 10:53:00,1,1,0.018000000000000002,18,34.03,31.274,941.568,50.994,46.921,57.83,456.5,3498.0,1779.5,1481.5,-0.016,-0.008,-0.016,32512.0,32640.0,32512.0,57.31,0.199,48.077,57.842,60.104,60.565,60.642,7.548,10.013,11.656,11.985,0.721,103.5,-2058.5,0.0,36.0,3491.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-56.0,-52.0,4.0,17.445,78.35,14.7,1624339416510.5
5,2021-06-22 10:54:00,1,1,0.02,20,34.575,30.188,941.524,49.526,46.652,54.948,458.5,3265.5,1788.5,1414.5,-0.008,-0.016,0.0,32640.0,65280.0,32768.0,56.406,0.432,48.996,59.267,61.79,62.304,62.39,7.761,10.485,12.329,12.697,0.741,73.5,-1466.0,0.0,39.0,3501.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.36,-55.0,-55.0,4.0,17.445,78.35,13.551,1624339480121.0
9,2021-06-22 10:58:00,1,1,0.027999999999999997,28,35.52,26.482,941.421,47.401,46.581,49.782,477.0,2757.0,1834.0,1277.0,-0.048,0.0,-0.048,64768.0,0.0,64768.0,60.122,0.371,46.944,57.214,59.924,60.477,60.568,7.529,10.423,12.416,12.814,0.736,0.0,956.0,0.0,48.0,3550.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624339729119.0
13,2021-06-22 11:02:00,1,1,0.013000000000000001,13,35.47,27.201,941.34,42.437,41.087,48.483,487.0,2657.0,1868.0,1238.0,0.016,0.0,0.064,256.0,0.0,1024.0,60.403,0.517,44.568,53.803,56.025,56.477,56.553,7.036,9.443,11.063,11.387,0.722,0.0,511.0,0.0,52.0,3571.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624339975363.0
18,2021-06-22 11:07:00,1,1,0.006999999999999999,7,36.02,29.01,941.277,43.915,42.88,44.829,496.0,2639.0,1890.0,1231.0,0.032,0.0,-0.048,512.0,0.0,64768.0,60.387,0.616,50.548,62.527,66.072,66.797,66.913,8.305,12.032,14.661,15.187,0.761,0.0,76.0,0.0,54.0,3583.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340253219.0
24,2021-06-22 11:13:00,1,1,0.016,16,36.55,27.964,941.251,42.115,41.354,43.211,505.0,2607.0,1914.0,1225.0,-0.016,-0.016,-0.016,65280.0,65280.0,65280.0,60.028,0.016,46.823,57.12,59.859,60.418,60.51,7.521,10.443,12.458,12.861,0.72,0.0,488.0,0.0,54.0,3622.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340595779.0
30,2021-06-22 11:19:00,1,1,0.021,21,36.94,28.479,941.202,46.497,45.574,47.878,512.0,2614.0,1938.0,1237.0,0.0,-0.032,-0.064,0.0,65024.0,64512.0,60.312,0.562,48.07,58.706,61.562,62.145,62.24,7.735,10.778,12.881,13.302,0.729,0.0,290.0,0.0,58.0,3652.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340945330.0
39,2021-06-22 11:28:00,1,1,0.016,16,37.4,27.856,941.179,41.531,40.662,43.506,525.0,2642.0,1976.0,1238.0,-0.032,0.0,-0.064,65024.0,0.0,64512.0,53.435,0.349,44.084,53.688,56.204,56.718,56.802,7.061,9.752,11.601,11.971,0.733,0.0,133.0,0.0,63.0,3736.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624341535605.0
43,2021-06-22 11:32:00,1,1,0.016,16,37.71,27.592,941.064,39.63,38.942,40.82,528.0,2657.0,1982.0,1243.0,0.032,0.016,-0.048,512.0,256.0,64768.0,58.116,0.164,48.731,59.602,62.558,63.162,63.26,7.86,11.004,13.183,13.619,0.722,0.0,65.0,0.0,65.0,3761.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624341766555.0
51,2021-06-22 11:40:00,1,1,0.016,16,38.36,26.843,940.927,39.581,39.149,40.19,536.0,2725.0,2008.0,1260.0,0.048,-0.016,0.0,768.0,65280.0,0.0,54.618,0.41,46.181,55.838,58.2,58.681,58.761,7.31,9.861,11.586,11.931,0.747,0.0,528.0,0.0,68.0,3776.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624342258356.0
58,2021-06-22 11:47:00,1,1,0.015,15,38.74,26.47,940.905,39.581,38.854,40.211,543.0,2753.0,2023.0,1269.0,0.032,0.0,-0.096,512.0,0.0,64000.0,54.548,0.109,50.661,62.573,66.063,66.776,66.89,8.304,11.976,14.563,15.08,0.747,0.0,397.0,0.0,68.0,3796.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624342626563.0
64,2021-06-22 11:53:00,1,1,0.016,16,39.1,26.084,940.809,39.104,38.55,39.632,546.0,2775.0,2036.0,1277.0,0.0,0.0,-0.048,0.0,0.0,64768.0,52.752,0.41,44.857,55.268,58.265,58.877,58.976,7.323,10.485,12.703,13.147,0.756,0.0,736.0,0.0,71.0,3809.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624343016746.0
70,2021-06-22 11:59:00,1,1,0.013000000000000001,13,39.38,25.951,940.651,39.696,39.238,40.227,549.0,2789.0,2042.0,1284.0,0.0,-0.032,0.064,0.0,65024.0,1024.0,49.439,0.179,42.43,52.293,55.138,55.719,55.812,6.93,9.93,12.037,12.458,0.742,0.0,823.0,0.0,73.0,3853.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624343355484.0
78,2021-06-22 12:07:00,1,1,0.017,17,39.72,25.618,940.651,39.311,38.615,40.043,556.5,2828.5,2055.0,1291.5,0.008,-0.008,-0.024,128.0,32640.0,65152.0,49.98,0.533,46.641,57.964,61.419,62.125,62.238,7.722,11.339,13.907,14.421,0.765,0.0,771.5,0.0,76.0,3877.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624343852261.0
79,2021-06-22 12:08:00,1,1,0.011000000000000001,11,39.75,25.601,940.641,39.413,38.872,39.931,557.0,2825.0,2057.0,1298.0,-0.032,-0.016,-0.016,65024.0,65280.0,65280.0,50.124,0.418,45.91,57.176,60.66,61.372,61.485,7.627,11.267,13.859,14.377,0.79,0.0,894.0,0.0,77.0,3899.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624343898952.0
80,2021-06-22 12:09:00,1,1,0.016,16,39.8,25.554,940.612,39.587,38.988,39.967,556.0,2832.0,2057.0,1294.0,-0.08,0.016,-0.096,64256.0,256.0,64000.0,49.664,0.279,43.895,54.447,57.628,58.278,58.382,7.245,10.58,12.943,13.415,0.783,0.0,849.0,0.0,77.0,3898.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624343997203.0
84,2021-06-22 12:13:00,1,1,0.012,12,39.94,25.389,940.53,41.523,39.922,45.96,557.0,2839.0,2066.0,1296.0,-0.016,-0.016,-0.096,65280.0,65280.0,64000.0,49.933,0.66,49.305,61.342,65.041,65.797,65.918,8.177,12.046,14.797,15.347,0.768,0.0,794.0,0.0,79.0,3938.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624344201709.0
89,2021-06-22 12:20:00,1,1,0.012,12,40.16,25.289,940.403,40.575,40.204,41.052,562.0,2853.0,2075.0,1296.0,0.0,-0.016,0.0,0.0,65280.0,0.0,49.53,0.172,49.745,61.858,65.569,66.327,66.448,8.243,12.126,14.885,15.437,0.74,0.0,1060.0,0.0,82.0,3964.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624344614575.0
95,2021-06-22 12:26:00,1,1,0.015,15,40.33,25.212,940.34,41.032,40.55,41.442,562.0,2889.0,2080.0,1304.0,0.0,0.0,0.016,0.0,0.0,256.0,48.492,0.387,50.62,62.817,66.505,67.258,67.379,8.361,12.226,14.965,15.513,0.79,0.0,735.0,0.0,86.0,3983.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624344981608.0
102,2021-06-22 12:33:00,1,1,0.013999999999999999,14,40.48,25.122,940.291,41.562,41.115,42.12,567.0,2889.0,2086.0,1307.0,0.016,0.0,0.048,256.0,0.0,768.0,50.697,0.164,44.389,56.3,60.363,61.195,61.325,7.594,11.789,14.831,15.44,0.808,0.0,767.0,0.0,89.0,4032.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624345388780.0
108,2021-06-22 12:39:00,1,1,0.013000000000000001,13,40.61,25.005,940.222,41.61,40.769,46.158,568.0,2900.0,2089.0,1312.0,0.032,0.0,-0.064,512.0,0.0,64512.0,51.505,0.101,51.871,65.294,69.703,70.605,70.747,8.767,13.34,16.633,17.292,0.784,0.0,859.0,0.0,91.0,4051.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624345781250.0
114,2021-06-22 12:45:00,1,1,0.013999999999999999,14,40.41,25.539,940.2,45.373,40.733,53.878,549.0,2717.0,2041.0,1262.0,0.048,0.0,0.064,768.0,0.0,1024.0,51.567,0.525,50.735,64.025,68.448,69.353,69.494,8.61,13.19,16.496,17.157,0.807,0.0,871.0,0.0,94.0,4101.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624346114010.0
124,2021-06-22 12:55:00,1,1,0.009000000000000001,9,40.1,26.239,940.075,45.026,40.871,54.219,547.0,2660.0,2035.0,1252.0,0.0,-0.032,-0.096,0.0,65024.0,64000.0,46.763,0.457,52.262,66.792,71.92,72.97,73.133,9.05,14.325,18.172,18.942,0.801,0.0,734.0,0.0,99.0,4161.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624346754049.0
135,2021-06-22 13:06:00,1,1,0.011000000000000001,11,39.3,27.514,940.153,42.853,42.329,43.311,549.0,2692.0,2036.0,1253.0,-0.016,0.0,0.0,65280.0,0.0,0.0,47.378,0.287,53.001,66.55,70.943,71.841,71.983,8.922,13.485,16.764,17.419,0.787,0.0,875.0,0.0,100.0,4231.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624347377009.0
140,2021-06-22 13:11:00,1,1,0.012,12,38.88,28.18,940.008,42.824,42.302,43.392,555.0,2757.0,2056.0,1273.0,-0.016,-0.032,0.048,65280.0,65024.0,768.0,46.661,0.008,49.77,62.678,66.929,67.799,67.935,8.418,12.826,16.001,16.636,0.814,0.0,591.0,0.0,100.0,4169.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624347674193.0
148,2021-06-22 13:19:00,1,1,0.01,10,38.22,29.075,939.84,42.919,42.441,43.344,557.0,2753.0,2061.0,1264.0,-0.064,-0.016,0.016,64512.0,65280.0,256.0,44.543,0.148,56.872,70.765,75.038,75.911,76.05,9.434,13.903,17.08,17.716,0.754,0.0,652.0,0.0,100.0,4197.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624348156671.0
156,2021-06-22 13:27:00,1,1,0.012,12,37.74,29.856,939.814,42.925,42.397,43.379,557.0,2742.0,2061.0,1261.0,0.032,-0.032,0.08,512.0,65024.0,1280.0,43.116,0.494,51.889,63.728,67.055,67.734,67.844,8.427,11.949,14.407,14.899,0.737,0.0,524.0,0.0,100.0,4203.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624348634883.0
163,2021-06-22 13:34:00,1,1,0.011000000000000001,11,37.36,30.457,939.698,43.099,42.665,43.524,556.0,2732.0,2060.0,1263.0,0.0,0.0,0.016,0.0,0.0,256.0,45.242,0.683,53.288,66.012,69.815,70.592,70.716,8.776,12.768,15.59,16.155,0.769,0.0,544.0,0.0,100.0,4194.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624349090320.0
174,2021-06-22 13:45:00,1,1,0.01,10,36.82,31.379,939.497,42.607,41.998,43.151,555.0,2710.0,2054.0,1264.0,0.0,0.0,0.032,0.0,0.0,512.0,41.361,0.418,52.571,65.494,69.499,70.317,70.447,8.738,12.922,15.901,16.497,0.783,0.0,473.0,0.0,100.0,4203.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624349716225.0
181,2021-06-22 13:52:00,1,1,0.011000000000000001,11,36.47,32.041,939.39,42.122,41.705,42.539,554.0,2689.0,2059.0,1255.0,0.016,0.016,0.048,256.0,256.0,768.0,41.347,0.202,51.99,66.178,71.099,72.106,72.263,8.946,14.017,17.705,18.442,0.819,0.0,257.0,0.0,100.0,4213.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624350125796.0
187,2021-06-22 13:58:00,1,1,0.01,10,36.13,32.604,939.344,42.516,41.951,43.03,554.0,2671.0,2052.0,1248.0,0.032,-0.032,0.096,512.0,65024.0,1536.0,42.614,0.533,48.737,60.305,63.736,64.437,64.549,8.012,11.617,14.162,14.671,0.758,0.0,455.0,0.0,100.0,4197.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624350489396.0
193,2021-06-22 14:04:00,1,1,0.01,10,35.75,33.286,939.22,42.834,42.305,43.443,553.0,2653.0,2048.0,1246.0,-0.016,0.0,0.08,65280.0,0.0,1280.0,42.361,0.249,46.869,57.818,60.997,61.647,61.751,7.667,11.017,13.372,13.843,0.781,0.0,298.0,0.0,100.0,4205.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624350892388.0
199,2021-06-22 14:10:00,1,1,0.006999999999999999,7,35.52,33.722,939.262,43.558,42.02,48.465,552.0,2635.0,2045.0,1241.0,-0.016,-0.032,0.064,65280.0,65024.0,1024.0,53.95,0.781,54.361,66.838,70.374,71.096,71.213,8.844,12.583,15.197,15.72,0.75,0.0,260.0,0.0,100.0,4194.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624351201415.0
204,2021-06-22 14:15:00,1,1,0.013999999999999999,14,35.14,35.781,939.097,46.969,46.488,47.497,545.0,2607.0,2025.0,1232.0,-0.016,0.0,0.096,65280.0,0.0,1536.0,52.466,0.593,52.401,65.742,70.048,70.928,71.067,8.809,13.284,16.497,17.139,0.795,0.0,260.0,0.0,100.0,4200.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624351501521.0
239,2021-06-22 14:50:00,1,1,0.012,12,32.66,35.175,938.734,46.178,42.376,49.192,539.0,2414.0,2006.0,1177.0,-0.016,-0.016,0.032,65280.0,65280.0,512.0,49.485,0.047,43.447,52.04,53.925,54.309,54.374,6.771,8.844,10.207,10.48,0.721,0.0,79.0,0.0,100.0,4187.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624353659548.0
240,2021-06-22 14:51:00,1,1,0.013000000000000001,13,32.63,35.343,938.691,46.426,43.1,49.558,538.0,2421.0,2008.0,1181.0,0.0,-0.016,-0.016,0.0,65280.0,65280.0,50.724,0.379,42.078,50.519,52.426,52.814,52.88,6.583,8.67,10.053,10.33,0.716,2.0,-31.0,0.0,100.0,4197.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624353690753.0
241,2021-06-22 14:52:00,1,1,0.012,12,32.63,35.828,938.711,44.861,42.376,51.129,536.0,2428.0,2010.0,1179.0,-0.048,0.0,-0.048,64768.0,0.0,64768.0,50.207,0.252,45.317,54.653,56.874,57.327,57.402,7.143,9.553,11.171,11.495,0.74,15.0,-305.0,0.0,100.0,4194.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624353753566.0
243,2021-06-22 14:54:00,1,1,0.006999999999999999,7,32.63,36.483,938.683,43.802,42.657,48.242,538.0,2450.0,2010.0,1180.0,-0.032,0.032,-0.128,65024.0,512.0,63488.0,50.79,0.21,46.224,55.137,56.986,57.362,57.427,7.154,9.208,10.538,10.803,0.711,23.0,-452.0,0.0,100.0,4190.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624353851696.0
246,2021-06-22 14:57:00,1,1,0.004,4,32.62,37.441,938.634,46.41,42.901,49.527,539.0,2435.0,2007.0,1187.0,-0.048,-0.032,-0.016,64768.0,65024.0,65280.0,52.878,0.279,44.169,52.726,54.521,54.886,54.949,6.845,8.835,10.127,10.385,0.693,18.0,-363.0,0.0,100.0,4194.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624354044856.0
257,2021-06-22 15:08:00,1,1,0.01,10,32.45,37.353,938.642,46.292,43.245,48.724,539.0,2435.0,2008.0,1180.0,0.0,-0.016,0.08,0.0,65280.0,1280.0,48.073,0.117,43.77,52.19,53.928,54.281,54.342,6.77,8.702,9.951,10.2,0.693,21.0,-415.0,0.0,100.0,4199.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624354700699.0
267,2021-06-22 15:18:00,1,1,0.009000000000000001,9,32.33,36.532,938.424,46.072,41.988,50.207,537.0,2407.0,2015.0,1177.0,-0.048,-0.016,0.016,64768.0,65280.0,256.0,46.962,0.326,43.003,51.874,53.99,54.421,54.493,6.78,9.075,10.617,10.926,0.728,0.0,189.0,0.0,100.0,4196.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624355319969.0
286,2021-06-22 15:37:00,1,1,0.013000000000000001,13,32.1,35.992,938.179,45.281,39.95,51.461,541.0,2367.0,2013.0,1167.0,0.0,-0.016,-0.064,0.0,65280.0,64512.0,47.203,0.078,39.946,47.955,49.764,50.132,50.194,6.249,8.228,9.539,9.802,0.736,0.0,153.0,0.0,100.0,4183.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624356445399.0
307,2021-06-22 15:58:00,1,1,0.01,10,32.22,36.899,937.754,41.783,41.22,42.423,546.0,2417.0,2029.0,1176.0,0.016,0.016,0.032,256.0,256.0,512.0,42.841,0.221,42.93,50.346,51.477,51.705,51.748,6.458,7.795,8.577,8.733,0.671,11.0,-228.0,0.0,100.0,4192.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624357735448.0
315,2021-06-22 16:06:00,1,1,0.011000000000000001,11,32.52,36.753,937.787,43.225,42.224,44.321,545.0,2410.0,2027.0,1179.0,-0.032,-0.032,0.0,65024.0,65024.0,0.0,43.162,0.463,38.985,45.964,47.158,47.399,47.443,5.917,7.294,8.132,8.3,0.665,7.0,-145.0,0.0,99.0,4149.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624358190682.0
322,2021-06-22 16:13:00,1,1,0.011000000000000001,11,32.52,36.874,937.755,43.335,42.711,43.849,548.0,2439.0,2039.0,1178.0,0.0,0.032,-0.048,0.0,512.0,64768.0,43.193,0.117,39.199,46.259,47.488,47.737,47.782,5.959,7.371,8.236,8.41,0.663,11.0,-222.0,0.0,98.0,4148.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624358638818.0
330,2021-06-22 16:21:00,1,1,0.01,10,32.57,37.315,937.71,45.877,42.693,59.186,544.0,2417.0,2024.0,1167.0,0.0,0.0,0.016,0.0,0.0,256.0,50.999,0.624,44.367,52.263,53.59,53.859,53.908,6.724,8.26,9.19,9.376,0.657,18.0,-357.0,0.0,97.0,4116.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624359080786.0
334,2021-06-22 16:25:00,1,1,0.011000000000000001,11,32.46,37.949,937.769,43.603,42.5,45.521,542.0,2353.0,2021.0,1163.0,0.0,0.0,-0.096,0.0,0.0,64000.0,50.593,0.334,38.64,46.102,47.656,47.972,48.026,5.982,7.707,8.825,9.048,0.707,8.0,-151.0,0.0,96.0,4116.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624359355984.0
347,2021-06-22 16:38:00,1,1,0.01,10,32.38,38.899,937.657,42.674,41.709,46.927,546.0,2375.0,2032.0,1166.0,-0.032,0.016,-0.096,65024.0,256.0,64000.0,50.607,0.194,95.499,109.242,109.877,109.999,110.039,13.77,14.918,15.207,15.264,0.575,7.0,-142.0,0.0,95.0,4089.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624360102952.0
350,2021-06-22 16:41:00,1,1,0.01,10,32.41,39.048,937.677,41.737,41.143,43.415,545.0,2364.0,2031.0,1158.0,-0.016,-0.016,-0.048,65280.0,65280.0,64768.0,50.326,0.031,94.2,107.384,107.757,107.825,107.857,13.503,14.389,14.478,14.495,0.552,7.0,-139.0,0.0,95.0,4085.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624360313482.0
354,2021-06-22 16:45:00,1,1,0.006999999999999999,7,32.44,39.341,937.793,41.395,40.587,42.994,549.0,2414.0,2036.0,1180.0,0.0,-0.016,0.016,0.0,65280.0,256.0,50.388,0.342,86.144,98.618,99.243,99.364,99.402,12.438,13.525,13.826,13.886,0.59,0.0,-1.0,0.0,94.0,4082.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624360547433.0
358,2021-06-22 16:49:00,1,1,0.008,8,32.47,39.404,937.767,43.687,43.149,45.619,551.0,2435.0,2042.0,1185.0,0.0,-0.016,0.016,0.0,65280.0,256.0,50.451,0.494,83.325,95.932,96.906,97.099,97.146,12.148,13.558,14.134,14.249,0.598,0.0,101.0,0.0,93.0,4089.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624360759447.0
