created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-06 14:38:00,1,1,17.84, , ,113.455,16.0,19.091,2.818,41.567,24.819,939.651
2021-11-06 14:39:00,1,1,19.38, , ,101.053,23.579,19.158,1.842,39.786,25.955,939.529
2021-11-06 14:40:00,1,1,20.91, , ,90.667,16.0,18.5,1.722,38.448,27.213,939.459
2021-11-06 14:41:00,1,1,19.33, , ,80.0,16.0,17.2,2.2,37.957,27.871,939.43
2021-11-06 14:42:00,1,1,17.68, , ,79.158,16.0,16.0,3.579,36.309,29.804,939.45
2021-11-06 14:43:00,1,1,16.41, , ,65.778,-19.556,16.667,3.556,33.833,34.131,939.034
2021-11-06 14:44:00,1,1,15.53, , ,64.0,16.0,15.632,1.158,33.327,34.421,938.725
2021-11-06 14:45:00,1,1,15.52, , ,64.0,16.0,14.737,3.842,34.053,33.444,938.848
2021-11-06 14:46:00,1,1,14.96, , ,64.0,16.0,14.5,3.0,33.997,33.999,938.832
2021-11-06 14:47:00,1,1,13.50, , ,64.0,16.0,13.737,2.789,34.202,33.423,938.786
2021-11-06 14:48:00,1,1,12.21, , ,64.0,16.0,13.0,2.75,34.36,33.096,938.774
2021-11-06 14:56:00,1,1,7.57, , ,61.333,16.0,34.167,4.0,33.163,35.254,939.711
2021-11-06 14:57:00,1,1,7.87, , ,63.111,-56.889,34.056,2.778,32.512,35.668,938.555
2021-11-06 14:58:00,1,1,7.50, , ,50.824,18.824,32.412,0.647,32.721,35.714,938.838
2021-11-06 14:59:00,1,1,10.00, , ,57.263,18.526,26.105,1.632,33.138,35.159,939.449
2021-11-06 15:00:00,1,1,10.10, , ,63.111,-19.556,22.556,2.333,32.989,35.593,940.596
2021-11-06 15:01:00,1,1,6.71, , ,63.111,-19.556,19.278,2.667,32.827,35.509,940.767
2021-11-06 15:02:00,1,1,11.56, , ,64.0,-16.842,16.684,3.211,33.203,35.097,943.207
2021-11-06 15:03:00,1,1,7.91, , ,63.111,19.556,15.5,3.056,33.083,35.569,943.607
2021-11-06 15:04:00,1,1,8.45, , ,64.0,16.842,16.895,4.368,32.221,36.925,943.019
2021-11-06 15:05:00,1,1,7.22, , ,64.0,16.0,16.722,6.722,32.224,37.099,942.825
2021-11-06 15:06:00,1,1,6.75, , ,64.0,16.0,16.0,7.353,32.511,36.964,942.704
2021-11-06 15:07:00,1,1,8.76, , ,69.647,16.941,16.529,8.412,32.759,36.433,941.122
2021-11-06 15:08:00,1,1,7.93, , ,72.471,-20.706,17.294,9.412,32.586,36.669,940.093
2021-11-06 15:09:00,1,1,5.69, , ,72.889,-233.778,21.889,8.278,32.183,37.215,940.01
2021-11-06 15:10:00,1,1,4.61, , ,64.0,-27.733,23.8,4.8,31.943,37.298,940.399
2021-11-06 15:11:00,1,1,5.65, , ,64.0,16.0,22.733,2.2,31.3,38.605,941.049
2021-11-06 15:12:00,1,1,5.41, , ,64.0,-19.556,19.722,4.111,31.623,38.231,942.139
2021-11-06 15:13:00,1,1,5.38, , ,64.0,16.0,18.643,4.643,31.886,38.039,942.53
2021-11-06 15:14:00,1,1,4.63, , ,64.0,17.684,18.684,1.947,31.892,37.339,942.042
2021-11-06 15:15:00,1,1,3.49, , ,64.0,16.0,16.944,3.278,31.808,37.699,942.079
2021-11-06 15:16:00,1,1,7.39, , ,64.0,16.0,15.5,4.0,31.988,37.776,941.411
2021-11-06 15:17:00,1,1,5.94, , ,64.0,16.0,14.5,5.222,32.007,37.642,941.894
2021-11-06 15:18:00,1,1,4.01, , ,64.889,17.778,14.111,6.833,32.244,37.394,942.079
2021-11-06 15:19:00,1,1,3.57, , ,64.941,-97.882,16.706,6.765,31.776,38.108,941.316
2021-11-06 15:20:00,1,1,11.40, , ,64.0,18.824,20.765,5.353,31.774,38.532,941.933
2021-11-06 15:21:00,1,1,10.57, , ,64.0,16.0,21.421,3.474,31.509,39.555,941.264
2021-11-06 17:50:00,1,1,9.70, , ,48.0,16.0,8.0,1.333,29.082,42.343,943.666
2021-11-06 17:51:00,1,1,10.53, , ,42.667,16.0,6.833,1.111,29.149,42.42,943.661
2021-11-06 17:52:00,1,1,9.74, , ,43.789,16.0,6.421,1.158,29.204,41.649,943.672
2021-11-06 17:53:00,1,1,11.77, , ,41.412,16.0,6.294,1.353,29.096,41.207,943.668
2021-11-06 17:54:00,1,1,8.64, , ,33.778,16.0,5.222,1.278,29.033,41.687,943.575
2021-11-06 17:55:00,1,1,9.36, , ,40.889,16.0,6.333,1.944,28.371,44.277,943.145
2021-11-06 17:56:00,1,1,10.10, , ,48.0,17.778,7.833,1.944,28.079,44.154,943.328
2021-11-06 17:57:00,1,1,7.40, , ,47.111,16.889,8.389,2.056,28.236,43.37,943.723
2021-11-06 17:58:00,1,1,10.66, , ,48.0,-20.706,9.647,2.647,28.526,43.208,943.774
2021-11-06 17:59:00,1,1,12.08, , ,48.0,16.0,8.722,2.167,28.082,44.455,942.971
2021-11-06 18:00:00,1,1,10.87, , ,48.0,-83.692,9.0,2.692,27.912,44.801,942.292
2021-11-06 18:01:00,1,1,8.28, , ,48.0,19.0,9.312,2.875,27.964,44.409,942.76
2021-11-06 18:02:00,1,1,7.12, , ,46.118,-20.706,7.824,2.412,27.702,45.25,943.23
2021-11-06 18:03:00,1,1,4.32, , ,48.0,-23.0,9.25,3.25,27.823,45.237,943.54
2021-11-06 18:04:00,1,1,2.78, , ,48.0,16.0,10.444,4.389,27.758,45.632,943.069
2021-11-06 18:05:00,1,1,3.69, , ,48.0,-24.533,9.933,3.067,27.767,45.027,941.726
2021-11-06 18:06:00,1,1,6.43, , ,48.0,-133.647,8.647,2.882,28.034,44.46,941.802
2021-11-06 18:07:00,1,1,5.29, , ,46.118,-100.706,8.118,2.647,28.002,44.307,941.175
2021-11-06 18:08:00,1,1,7.51, , ,41.778,16.889,6.611,2.5,28.031,44.015,941.535
