created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature
2021-11-06 14:38:00,1,1,17.84, , ,39.2,33.2,25.71,37.79
2021-11-06 14:39:00,1,1,19.38, , ,38.85,34.8,27.7,37.105
2021-11-06 14:40:00,1,1,20.91, , ,42.1,34.9,27.92,36.155
2021-11-06 14:41:00,1,1,19.33, , ,48.1,34.75,28.455,35.085
2021-11-06 14:42:00,1,1,17.68, , ,42.3,32.35,28.74,33.615
2021-11-06 14:43:00,1,1,16.41, , ,38.3,32.7,31.625,32.54
2021-11-06 14:44:00,1,1,15.53, , ,36.0,32.15,30.175,31.54
2021-11-06 14:45:00,1,1,15.52, , ,41.5,32.95,32.635,30.525
2021-11-06 14:46:00,1,1,14.96, , ,36.1,31.85,32.79,29.55
2021-11-06 14:47:00,1,1,13.50, , ,34.35,30.3,33.09,28.77
2021-11-06 14:48:00,1,1,12.21, , ,56.8,35.3,37.05,28.12
2021-11-06 14:49:00,1,1,11.50, , ,43.35,35.45,37.835,27.75
2021-11-06 14:50:00,1,1,9.30, , ,50.9,36.05,36.925,27.385
2021-11-06 14:51:00,1,1,7.81, , ,40.85,33.7,36.535,26.64
2021-11-06 14:52:00,1,1,7.22, , ,40.1,34.85,37.555,26.19
2021-11-06 14:53:00,1,1,7.37, , ,43.65,36.2,39.615,25.69
2021-11-06 14:54:00,1,1,9.06, , ,64.8,39.3,41.915,25.7
2021-11-06 14:55:00,1,1,9.81, , ,59.25,38.3,45.365,26.035
2021-11-06 14:56:00,1,1,7.57, , ,49.6,39.3,45.06,26.15
2021-11-06 14:59:00,1,1,10.00, , ,38.2,30.9,39.435,25.145
2021-11-06 15:00:00,1,1,10.10, , ,33.0,28.0,39.29,24.835
2021-11-06 15:01:00,1,1,6.71, , ,31.05,26.0,38.24,24.395
2021-11-06 15:02:00,1,1,11.56, , ,29.5,24.8,38.42,24.045
2021-11-06 15:03:00,1,1,7.91, , ,27.6,22.25,38.395,23.785
2021-11-06 15:04:00,1,1,8.45, , ,24.25,20.35,38.005,23.715
2021-11-06 15:05:00,1,1,7.22, , ,25.15,20.4,38.05,23.44
2021-11-06 15:06:00,1,1,6.75, , ,23.9,19.3,39.295,23.27
2021-11-06 15:07:00,1,1,8.76, , ,21.9,18.25,39.165,23.23
2021-11-06 15:08:00,1,1,7.93, , ,22.45,17.65,40.02,23.315
2021-11-06 15:09:00,1,1,5.69, , ,20.25,16.55,40.435,23.27
2021-11-06 15:10:00,1,1,4.61, , ,19.7,15.55,39.71,23.24
2021-11-06 15:11:00,1,1,5.65, , ,18.15,15.5,39.28,23.3
2021-11-06 15:12:00,1,1,5.41, , ,19.45,15.9,39.45,23.19
2021-11-06 15:13:00,1,1,5.38, , ,22.55,15.25,39.795,23.195
2021-11-06 15:14:00,1,1,4.63, , ,16.9,13.95,40.12,23.15
2021-11-06 15:15:00,1,1,3.49, , ,18.3,14.2,40.5,22.98
2021-11-06 15:16:00,1,1,7.39, , ,16.75,13.1,41.335,22.965
2021-11-06 15:17:00,1,1,5.94, , ,16.7,13.45,41.93,22.975
2021-11-06 15:18:00,1,1,4.01, , ,16.55,13.4,42.405,22.915
2021-11-06 15:19:00,1,1,3.57, , ,16.1,13.25,42.025,22.935
2021-11-06 15:20:00,1,1,11.40, , ,15.9,13.1,41.315,22.99
2021-11-06 15:21:00,1,1,10.57, , ,15.85,12.6,40.83,23.01
2021-11-06 17:50:00,1,1,9.70, , ,66.5,40.2,35.85,27.22
2021-11-06 17:51:00,1,1,10.53, , ,85.6,45.85,39.785,26.785
2021-11-06 17:52:00,1,1,9.74, , ,76.8,49.95,42.425,26.52
2021-11-06 17:53:00,1,1,11.77, , ,104.65,52.05,41.03,26.01
2021-11-06 17:54:00,1,1,8.64, , ,91.05,49.55,39.295,25.265
2021-11-06 17:55:00,1,1,9.36, , ,74.05,48.35,38.515,24.745
2021-11-06 17:56:00,1,1,10.10, , ,76.3,48.35,38.305,24.395
2021-11-06 17:57:00,1,1,7.40, , ,76.15,50.35,38.34,23.965
