created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),CO_1,CO_1_original,SO2_1,CO_2,CO_2_original,SO2_2,Temperature,RH,Pressure,time,latitude,longitude,altitude
06-11-2021 18:04,1,1,2.78, , ,48,48,16,10.5,10.444,4.389,27.758,45.632,943.069,06-11-2021 12:34,17.45401188,78.38328017,499.106
06-11-2021 18:05,1,1,3.69, , ,48,48,-24.533,10,9.933,3.067,27.767,45.027,941.726,06-11-2021 12:35,17.45010232,78.37951393,507.426
06-11-2021 18:06,1,1,6.43, , ,48,48,-133.647,8.7,8.647,2.882,28.034,44.46,941.802,06-11-2021 12:36,17.44682406,78.3778403,505.021
06-11-2021 18:07,1,1,5.29, , ,46.2,46.118,-100.706,8.2,8.118,2.647,28.002,44.307,941.175,06-11-2021 12:37,17.44169951,78.37727055,505.159
06-11-2021 18:08,1,1,7.51, , ,41.8,41.778,16.889,6.7,6.611,2.5,28.031,44.015,941.535,06-11-2021 12:38,17.43689686,78.37471038,503.766
06-11-2021 18:09,1,1,6.92, , ,34.3,34.286,16,5.3,5.214,1.857,28.034,44.18,943.498,06-11-2021 12:39,17.43172041,78.37511748,484.802
06-11-2021 18:10,1,1,5.91, , ,39,39,16,5.5,5.5,2.438,28.228,44.25,944.311,06-11-2021 12:40,17.42857811,78.37506384,479.19
06-11-2021 18:11,1,1,8.75, , ,44.8,44.8,16,7.2,7.133,2.333,28.105,44.686,944.603,06-11-2021 12:41,17.42417236,78.38005786,465.017
06-11-2021 18:12,1,1,5.4, , ,45.9,45.867,16,7.6,7.6,2.467,27.667,46.729,945.986,06-11-2021 12:42,17.42109488,78.38471371,463.372
06-11-2021 18:13,1,1,4.21, , ,47.1,47.059,15.059,8.2,8.118,2.118,27.586,46.379,946.523,06-11-2021 12:43,17.41815837,78.38895313,461.749
06-11-2021 18:14,1,1,2.85, , ,45.4,45.333,-57.778,8.2,8.111,2.944,27.677,46.267,946.599,06-11-2021 12:44,17.41626915,78.39195327,460.357
06-11-2021 18:15,1,1,4.52, , ,48,48,16.889,7.7,7.667,3.167,28.027,45.001,946.208,06-11-2021 12:45,17.41507218,78.39315911,466.902
06-11-2021 18:16,1,1,10.31, , ,48,48,16,9.4,9.375,4.562,28.258,44.654,945.881,06-11-2021 12:46,17.413042,78.39497673,448.373
06-11-2021 18:17,1,1,6.85, , ,48,48,16,8.1,8.053,3.474,28.301,44.534,946.149,06-11-2021 12:47,17.41085717,78.39761264,458.412
06-11-2021 18:18,1,1,6.42, , ,48,48,16,8,7.938,2.938,28.347,44.249,946.719,06-11-2021 12:48,17.40979567,78.39881716,463.288
06-11-2021 18:19,1,1,2.34, , ,45.5,45.474,16,7.3,7.211,2.737,28.612,43.894,946.821,06-11-2021 12:49,17.40968988,78.3990096,459.081
06-11-2021 18:20,1,1,2.43, , ,48,48,16,10.4,10.4,4.8,28.963,43.667,946.862,06-11-2021 12:50,17.40945197,78.39930779,450.115
06-11-2021 18:21,1,1,7.39, , ,48,48,16,14,13.944,3.278,29.066,43.421,946.914,06-11-2021 12:51,17.40894266,78.39991632,438.49
06-11-2021 18:22,1,1,3.18, , ,48,48,16,13.3,13.25,3.062,28.972,43.858,946.971,06-11-2021 12:52,17.40758722,78.40172831,448.917
06-11-2021 18:23,1,1,4.82, , ,48,48,16,12.3,12.294,3.059,28.85,43.929,947.308,06-11-2021 12:53,17.40592598,78.404147,448.92
06-11-2021 18:24,1,1,7.81, , ,48,48,16,10.3,10.235,2.647,28.681,44.361,948.033,06-11-2021 12:54,17.40535191,78.40547484,453.269
06-11-2021 18:25,1,1,6.94, , ,46.4,46.316,16,8.6,8.579,2,28.459,44.739,948.199,06-11-2021 12:55,17.40507647,78.40605318,455.457
06-11-2021 18:26,1,1,6.45, , ,47.1,47.059,18.824,10.6,10.588,3.412,28.464,45.063,948.314,06-11-2021 12:56,17.40477295,78.40660621,452.376
06-11-2021 18:27,1,1,8.94, , ,48,48,-48,10.3,10.222,2.444,28.217,45.574,948.484,06-11-2021 12:57,17.40417623,78.40773701,447.761
06-11-2021 18:28,1,1,10.54, , ,48,48,-20.706,11.2,11.176,3,28.286,45.813,948.52,06-11-2021 12:58,17.40269236,78.41062917,446.426
06-11-2021 18:29,1,1,7.38, , ,48,48,17.778,12.3,12.278,2.944,28.422,45.271,948.186,06-11-2021 12:59,17.4004854,78.41375195,447.181
06-11-2021 18:30,1,1,9.03, , ,48,48,16,11.4,11.353,2.235,28.376,45.136,947.9,06-11-2021 13:00,17.3981439,78.41899673,440.19
06-11-2021 18:31,1,1,15.27, , ,48,48,-21.647,10.9,10.882,2.882,28.397,45.597,948.051,06-11-2021 13:01,17.39667501,78.42308302,453.904
06-11-2021 18:32,1,1,13.31, , ,48,48,18.667,11.9,11.833,2.833,28.249,46.395,947.754,06-11-2021 13:02,17.39623795,78.42668339,448.619
06-11-2021 18:33,1,1,22.23, , ,48,48,13.176,12.1,12.059,2.882,27.946,47.336,948.407,06-11-2021 13:03,17.39593046,78.4313569,439.803
06-11-2021 18:34,1,1,20.45, , ,48,48,16,10.9,10.889,3.333,27.792,47.894,948.701,06-11-2021 13:04,17.39521239,78.43422164,441.355
06-11-2021 18:35,1,1,15.92, , ,48,48,16,11.4,11.353,3.235,28.054,47.15,948.432,06-11-2021 13:05,17.39511251,78.43414741,453.983
06-11-2021 18:36,1,1,4.43, , ,48.9,48.889,16,14.5,14.444,5.444,28.41,46.767,948.472,06-11-2021 13:06,17.39533461,78.4331798,453.075
06-11-2021 18:37,1,1,4.87, , ,48,48,-18.667,15.4,15.389,5.833,28.498,46.263,948.841,06-11-2021 13:07,17.39565336,78.43218816,446.824
06-11-2021 18:38,1,1,3.49, , ,56.9,56.889,16,19,18.944,7.222,28.619,46.561,949.001,06-11-2021 13:08,17.39568141,78.43200192,455.269
06-11-2021 18:39,1,1,4.83, , ,64,64,17,22.5,22.438,4.938,28.509,46.821,949.08,06-11-2021 13:09,17.39570974,78.43059497,450.728
06-11-2021 18:40,1,1,9.64, , ,60.5,60.444,18.667,19.8,19.778,3.278,28.166,47.061,949.244,06-11-2021 13:10,17.3938641,78.43031122,437.385
06-11-2021 18:41,1,1,8.69, , ,48,48,18.526,12.7,12.684,2.211,27.707,47.979,949.473,06-11-2021 13:11,17.39219226,78.43075113,436.447
06-11-2021 18:42,1,1,14.41, , ,48,48,20.267,10.4,10.333,2.133,27.771,47.43,949.762,06-11-2021 13:12,17.39095898,78.43035253,435.514
06-11-2021 18:43,1,1,13.26, , ,42.4,42.353,17.882,7.9,7.882,2.118,27.716,47.595,950.063,06-11-2021 13:13,17.38889596,78.42971478,429.199
06-11-2021 18:44,1,1,12.5, , ,45,45,19,7.3,7.25,2.062,27.72,48.156,950.283,06-11-2021 13:14,17.38953299,78.43018373,436.21
06-11-2021 18:45,1,1,8.68, , ,48,48,16,10.2,10.118,3.059,28.134,47,950.045,06-11-2021 13:15,17.38793651,78.42977804,421.961
06-11-2021 18:46,1,1,14.39, , ,48,48,16,10.9,10.824,3.235,28.404,46.436,950.636,06-11-2021 13:16,17.3844395,78.42960971,426.004
06-11-2021 18:47,1,1,12.16, , ,49,49,16,14.9,14.875,3.5,28.815,45.806,951.123,06-11-2021 13:17,17.38056124,78.42965733,421.626
06-11-2021 18:48,1,1,10.04, , ,60.8,60.8,16,16.5,16.5,3,28.92,45.03,951.361,06-11-2021 13:18,17.37703953,78.42948601,412.974
06-11-2021 18:49,1,1,9.87, , ,60,60,17,17.2,17.188,2.562,28.941,44.7,951.536,06-11-2021 13:19,17.37430261,78.42941247,417.902
06-11-2021 18:50,1,1,9.09, , ,52.3,52.267,12.8,16.2,16.133,1.867,28.618,45.296,951.612,06-11-2021 13:20,17.37077956,78.42937645,416.827
06-11-2021 18:51,1,1,8.37, , ,57.6,57.6,19.2,17.5,17.467,2,28.747,45.197,951.343,06-11-2021 13:21,17.36790823,78.42903151,415.363
06-11-2021 18:52,1,1,8.37, , ,55.6,55.529,16.941,16.6,16.588,2.471,28.873,45.153,950.903,06-11-2021 13:22,17.36441448,78.42840959,415.978
06-11-2021 18:53,1,1,4.86, , ,48,48,18,15.6,15.562,2.188,28.809,45.255,950.145,06-11-2021 13:23,17.36082668,78.42772373,428.931
