created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-11-06 14:37:26 +0530,676074,112,16,19,3,42.49,24.61719,939.67578
2021-11-06 14:37:29 +0530,676075,112,16,19,3,42.42,24.58203,939.65479
2021-11-06 14:37:33 +0530,676076,128,16,19,3,41.94,24.25,939.64899
2021-11-06 14:37:36 +0530,676077,112,16,19,3,41.66,24.44629,939.71326
2021-11-06 14:37:39 +0530,676078,112,16,19,3,41.61,24.49707,939.70282
2021-11-06 14:37:43 +0530,676079,112,16,19,3,41.52,24.71387,939.67609
2021-11-06 14:37:46 +0530,676080,112,16,20,4,41.48,25.04883,939.65265
2021-11-06 14:37:50 +0530,676081,112,16,19,3,41.35,25.30566,939.62909
2021-11-06 14:37:53 +0530,676082,112,16,19,2,41.0,25.31738,939.60919
2021-11-06 14:37:56 +0530,676083,112,16,19,2,40.9,25.13281,939.5993699999999
2021-11-06 14:37:59 +0530,676084,112,16,19,2,40.87,25.099610000000002,939.60236
2021-11-06 14:38:02 +0530,676085,112,16,19,3,40.85,25.046879999999998,939.6143800000001
2021-11-06 14:38:05 +0530,676086,112,16,20,3,40.78,24.9375,939.6251800000001
2021-11-06 14:38:08 +0530,676087,112,16,19,2,40.57,25.21973,939.5726300000001
2021-11-06 14:38:12 +0530,676088,112,160,19,2,40.39,25.67383,939.54657
2021-11-06 14:38:15 +0530,676089,112,16,19,2,40.18,25.7041,939.53656
2021-11-06 14:38:18 +0530,676090,112,16,20,2,40.21,25.86328,939.56799
2021-11-06 14:38:21 +0530,676091,96,16,19,2,40.16,25.96484,939.5546300000001
2021-11-06 14:38:24 +0530,676092,96,16,19,2,40.04,25.72754,939.5142199999999
2021-11-06 14:38:28 +0530,676093,96,16,19,1,39.79,25.89258,939.5058
2021-11-06 14:38:31 +0530,676094,96,16,19,2,39.62,25.94629,939.46014
2021-11-06 14:38:34 +0530,676095,96,16,19,2,39.57,26.037110000000002,939.49414
2021-11-06 14:38:38 +0530,676096,96,16,19,2,39.45,26.24023,939.5261199999999
2021-11-06 14:38:41 +0530,676097,96,16,19,2,39.41,26.44727,939.505
2021-11-06 14:38:44 +0530,676098,96,16,19,1,39.34,26.42285,939.49811
2021-11-06 14:38:47 +0530,676099,96,16,19,1,39.2,26.4668,939.4962800000001
2021-11-06 14:38:50 +0530,676100,96,16,20,1,39.09,26.39844,939.52936
2021-11-06 14:38:54 +0530,676101,96,16,19,1,39.11,26.399409999999996,939.4956099999999
2021-11-06 14:38:57 +0530,676102,96,16,19,2,39.09,26.3252,939.5
